obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""251.4535""","=""0.0005""","=""251.4535+""","=""900D""","=""5.3e+06""","=""6.3e-03""","=""4.15e-01""","=""-1.300""",B+,"=""0.0000000""","=""4.930702""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f12.(1G<4>).5d<5/2>.6s2""","=""(4,5/2)""","=""9/2""",8,10,,"=""T6708""","=""L2006,L3475""",
"=""252.7782""","=""0.0005""","=""252.7780+""","=""1300""","=""1.47e+07""","=""1.41e-02""","=""9.4e-01""","=""-0.95""",B+,"=""0.0000000""","=""4.904866""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f12.(1G<4>).5d<3/2>.6s2""","=""""","=""7/2""",8,8,,"=""T3042n""","=""L2006,L3475""",
"=""252.861""","=""0.0015""","=""252.8617+""","=""350""","=""6.4e+06""","=""4.6e-03""","=""3.1e-01""","=""-1.43""",C+,"=""0.0000000""","=""4.903242""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).5d.6p.(3F*<2>)""","=""(7/2,2)""","=""5/2""",8,6,,"=""T3042n""","=""L3475""",
"=""255.0575""","=""0.0005""","=""255.0575+""","=""400""","=""2.7e+06""","=""3.2e-03""","=""2.2e-01""","=""-1.59""",C+,"=""0.0000000""","=""4.861029""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""""","=""""","=""9/2""",8,10,,"=""T3042n""","=""L2006""",
"=""255.3530""","=""0.0005""","=""255.3532+""","=""3600""","=""3.68e+07""","=""3.60e-02""","=""2.42e+00""","=""-0.541""",B+,"=""0.0000000""","=""4.855401""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.7p""","=""""","=""7/2?""",8,8,,"=""T3042n""","=""L2006,L3475""",
"=""258.419""","=""0.0015""","=""258.4194+""","=""350""","=""3.5e+06""","=""2.6e-03""","=""1.8e-01""","=""-1.68""",C+,"=""0.0000000""","=""4.797790""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""""","=""""","=""5/2""",8,6,,"=""T3042n""","=""L3475""",
"=""259.7265""","=""0.0005""","=""259.7268+""","=""1700h""","=""1.40e+07""","=""1.77e-02""","=""1.21e+00""","=""-0.85""",B+,"=""0.0000000""","=""4.773640""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.7p""","=""""","=""9/2""",8,10,,"=""T3042n""","=""L2006,L3475""",
"=""260.1869""","=""0.0005""","=""260.1868+""","=""1100""","=""1.49e+07""","=""1.13e-02""","=""7.8e-01""","=""-1.04""",B+,"=""0.0000000""","=""4.765199""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.7p""","=""""","=""5/2""",8,6,,"=""T3042n""","=""L2006,L3475""",
"=""262.2718""","=""0.0005""","=""262.2719+""","=""230""","=""6.2e+05""","=""4.8e-04""","=""3.3e-02""","=""-2.41""",C+,"=""0.0000000""","=""4.727315""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""""","=""""","=""5/2""",8,6,,"=""T3042n""","=""L2006""",
"=""262.3249""","=""0.0005""","=""262.3246+""","=""400""","=""5.2e+06""","=""6.7e-03""","=""4.6e-01""","=""-1.27""",C+,"=""0.0000000""","=""4.726366""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f12.(1G<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""9/2""",8,10,,"=""T3042n""","=""L2006,L3475""",
"=""265.1739""","=""0.0005""","=""265.17410+""","=""150""","=""3.8e+05""","=""5.0e-04""","=""3.5e-02""","=""-2.40""",C+,"=""0.0000000""","=""4.6755773""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""""","=""""","=""9/2""",8,10,,"=""T3042n""","=""L2006""",
"=""266.1209""","=""0.0005""","=""266.12118+""","=""260""","=""4.6e+05""","=""6.1e-04""","=""4.3e-02""","=""-2.31""",C+,"=""0.0000000""","=""4.6589376""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.7p""","=""""","=""9/2""",8,10,,"=""T3042n""","=""L2006""",
"=""283.5932""","=""0.0005""","=""283.59332+""","=""210""","=""1.13e+06""","=""1.02e-03""","=""7.6e-02""","=""-2.09""",C+,"=""0.0000000""","=""4.3719013""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""""","=""""","=""5/2""",8,6,,"=""T3042n""","=""L2006""",
"=""284.1958""","=""0.0005""","=""284.1960+""","=""800""","=""1.4e+07""","=""1.7e-02""","=""1.0e+00""","=""-0.98""",D+,"=""1.0874955""","=""5.450126""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f13.(2F*<7/2>).5d.6p.(3D*<3>)""","=""(7/2,3)""","=""5/2""",6,6,,"=""T3338n""","=""L2006,L3475""",
"=""285.5005""","=""0.0005""","=""285.5004+""","=""2000""","=""2.42e+07""","=""2.22e-02""","=""1.67e+00""","=""-0.75""",B,"=""0.0000000""","=""4.342698""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<5/2>).6s.6p.(1P*<1>)""","=""""","=""5/2""",8,6,,"=""T6708""","=""L2006,L3475""",
"=""291.5692""","=""0.0005""","=""291.5692+""","=""1700""","=""9.4e+06""","=""1.20e-02""","=""9.2e-01""","=""-1.02""",C+,"=""0.0000000""","=""4.252307""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<5/2>).6s.6p.(1P*<1>)""","=""(5/2,1)""","=""7/2""",8,8,,"=""T6708""","=""L2006,L3475""",
"=""293.3824""","=""0.0005""","=""293.3825+""","=""800""","=""1.13e+07""","=""1.09e-02""","=""8.4e-01""","=""-1.06""",B,"=""0.0000000""","=""4.226026""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<5/2>).6s.6p.(1P*<1>)""","=""(5/2,1)""","=""5/2""",8,6,,"=""T6708""","=""L2006,L3475""",
"=""297.4086""","=""0.0005""","=""297.4086+""","=""4900""","=""2.17e+07""","=""2.88e-02""","=""2.25e+00""","=""-0.638""",B+,"=""0.0000000""","=""4.168817""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f12.(3F<2>).5d<5/2>.6s2""","=""""","=""7/2""",8,8,,"=""T6708""","=""L2006,L3475""",
"=""304.7756""","=""0.0005""","=""304.7757+""","=""3400D""","=""1.61e+07""","=""2.24e-02""","=""1.80e+00""","=""-0.747""",B+,"=""0.0000000""","=""4.068048""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f12.(3F<3>).5d<5/2>.6s2""","=""(3,5/2)""","=""7/2""",8,8,,"=""T3042n""","=""L2006,L3475""",
"=""308.2016""","=""0.0005""","=""308.2019+""","=""3600""","=""1.75e+07""","=""2.49e-02""","=""2.02e+00""","=""-0.70""",B+,"=""0.0000000""","=""4.022824""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f12.(3F<2>).5d<3/2>.6s2""","=""""","=""7/2""",8,8,,"=""T6708""","=""L2006,L3475""",
