z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
70,79,Yb,,,,,,0,,,(1/2+),0.7,,2,s,0.7,0.2,EC+B+,100,,ECP,0,,,,,,,,,,,,,,3485,361,10610.0,360.5,11171,500,1854,300,7927,2,148964219,322,-33330,300,Y,2001,23-Aug-2022,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
70,80,Yb,,,,,,0,,,0+,200,GE,,ns,0.0000002,,,,,,,,,,,,,,,,-14059,424,,,3067,300,7661.0,358.3,13572,424,2179,361,7965,2,149958314,322,-38830,300,Y,2000,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
70,81,Yb,,,,,,0,,,(1/2+),1.6,,1,s,1.6,0.1,EC+B+,100,,ECP,0,,,,,,,,,,-11242,425,-24842,425,2640.5464,302.9096,9229.261,301.116,10783,425,2340,359,7983.7556,1.9900,150955402.453,322.591,-41542.352,300.492,N,1985,20-Nov-2008,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
70,82,Yb,5.0423,0.0146,,,,0,,,0+,3.03,,6,s,3.03,0.06,EC+B+,100,,B+P,,,,,,,,,,,-12848,246,-24041,335,2783.6948,150.0587,5449.893,159.158,12799.3524,335.7205,2787.7440,150.9570,8015.4371,0.9849,151950326.699,160.718,-46270.386,149.708,N,1982,31-Aug-2013,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
70,83,Yb,,,,,,0,,,(7/2-),4.2,,2,s,4.2,0.2,EC+B+,90,,A,10,,B+P,0.008,,,,,,,-8784,250,-21809,280,4157,202,6812.61,200.35,8961,250,2728,207,8022,1,152949372,215,-47160,200,Y,1977,16-Aug-2020,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
70,84,Yb,5.0875,0.0105,,,,0,,,0+,0.409,,2,s,0.409,0.002,A,92.6,1.2,EC+B+,7.4,1.2,,,,,,,,,-10265,201,-19627.9487,151.0095,5474.3142,1.7293,4495.049,22.502,10844,201,3248.4543,21.0202,8039.9402,0.1122,153946395.696,18.551,-49932.093,17.281,N,1964,1-May-2008,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
70,85,Yb,5.1040,0.0110,,,,0,,,(7/2-),1.793,,20,s,1.793,0.02,A,89,5,EC+B+,11,5,,,,,-0.91,0.02,-0.5,0.3,-7957.5578,25.4153,-18907,201,5338.7604,2.0739,6123.307,19.339,8641.8392,23.9623,3364.4427,21.9831,8043.8234,0.1071,154945783.216,17.820,-50502.614,16.600,N,1964,21-Oct-2019,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
70,86,Yb,5.1219,0.0103,,,,0,,,0+,26.1,,7,s,26.1,0.7,EC+B+,90,2,A,10,2,,,,,,,,,-9565.988,54.9162,-18791.7996,21.3755,4809.7648,3.5359,3568.879,17.045,10834.2418,19.0313,3928.5875,13.5948,8061.7107,0.0597,155942817.096,9.992,-53265.538,9.308,N,1970,1-Mar-2012,C. W. REICH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
70,87,Yb,5.1324,0.0100,,,,0,,,7/2-,38.6,,10,s,38.6,1,EC+B+,99.5,,A,0.5,,,,,,-0.637,0.008,,,-6980.0942,14.2406,-17791.6805,55.2093,4621.8539,5.8580,5289.367,29.997,8225.6925,13.7282,3874.4662,17.5912,8062.7551,0.0695,156942651.368,11.706,-53419.912,10.905,N,1970,4-Dec-2015,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
70,88,Yb,5.1498,0.0088,,,,0,,,0+,1.49,,13,m,89.4,7.8,EC+B+,100,,A,0.0021,0.0012,,,,,,,,,-8797.4201,16.8655,-17641.1207,14.4258,4170.4374,7.0306,2693.58,26.44,10661.0265,13.3914,4589.3128,29.0600,8079.1999,0.0505,157939871.202,8.559,-56009.620,7.973,N,1967,1-Feb-2017,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
