z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
71,78,Lu,,,,,,0,,,(11/2-),0.45,,+17-10,us,0.00000045,0.000000135,P,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
71,79,Lu,,,,,,0,,,(2+),45,,3,ms,0.045,0.003,P,70.9,1.9,EC+B+,29.1,1.9,,,,,,,,,,,,,3859,361,14059.0,424.2,,,-1269.5999,2.3094,7866,2,149973407,322,-24771,300,Y,1993,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
71,80,Lu,,,,,,0,,,11/2-,80.6,,20,ms,0.0806,0.002,P,63.4,0.9,EC+B+,36.6,0.9,,,,,,,,,,,,,3249,300,11242.352,424.612,13600,424,-1240.9653,1.8222,7904,2,150967471,322,-30300,300,Y,1982,20-Nov-2008,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
71,81,Lu,,,,,,0,,,(4- 5- 6-),0.7,,1,s,0.7,0.1,EC+B+,100,,B+P,15,7,,,,,,,,,,,,,2918,196,12848.386,246.634,11193,358,-831,359,7926,1,151964120,210,-33422,196,Y,1987,3-JAN-2020,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
71,82,Lu,,,,,,0,,,11/2-,0.9,,2,s,0.9,0.2,A,,,EC+B+,,,,,,,,,,,-11075,335,,,3140,250,8784.538,250.01,13025,247,-605.9530,9.6225,7959.0882,0.9805,152958802.248,161.050,-38375.462,150.017,N,1989,16-Aug-2020,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
71,83,Lu,,,,,,0,,,(2-),,,,,,,,,,,,,,,,,,,,,-6937,361,-20438,361,4399,280,10265.093,201.742,9363,251,-204.0569,13.9571,7968,1,153957416,216,-39667,201,Y,1981,1-May-2008,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
71,84,Lu,,,,,,0,,,11/2-,68,,2,ms,0.068,0.002,A,90,2,EC+B+,10,2,,,,,,,,,-8235,301,-17886,301,5801.6414,2.2374,7957.558,25.415,10950,202,-98.0656,8.4705,7987.4369,0.1242,154954326.005,20.660,-42545.056,19.245,N,1965,21-Oct-2019,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
71,85,Lu,,,,,,0,,,(2)-,494,,12,ms,0.494,0.012,A,95,,EC+B+,5,,,,,,,,,,-5880.0352,139.6908,-17461,305,5595.813,3.2058,9565.988,54.917,9225.8116,57.4416,485.9068,56.6102,7995.3752,0.3469,155953086.606,58.102,-43699.550,54.122,N,1965,1-Mar-2012,C. W. REICH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
71,86,Lu,,,,,,0,,,(1/2+ 3/2+),6.8,,18,s,6.8,1.8,A,0,,,,,,,,,,,,,-7585,201,-16691.6215,150.2261,5107.8759,2.8536,6980.094,16.27,10811.5863,55.4521,463.2513,12.4366,8013.3128,0.0769,156950144.807,12.961,-46439.818,12.074,N,1977,4-Dec-2015,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
71,87,Lu,,,,,,0,,,(2)-,10.6,,3,s,10.6,0.3,EC+B+,99.09,0.2,A,0.91,0.2,,,,,,,,,-5109.801,14.9373,-16429,201,4790.026,4.5885,8797.42,17.09,8843.7006,19.3435,1081.2594,18.6215,8018.5685,0.0957,157949315.62,16.236,-47212.200,15.125,N,1979,1-Feb-2017,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
