z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
72,79,Hf,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-JAN-2020,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,81,Hf,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3605,424,11075.462,335.418,,,1167,358,7882,2,152970692,322,-27300,300,Y,2000,16-Aug-2020,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,82,Hf,,,,,,0,,,0+,2,,1,s,2,1,EC+B+,100,,A,0,,,,,,,,,,,,,,3675,424,6937.0,361.1,13501,424,1643,335,7918,2,153964863,322,-32730,300,Y,1981,1-May-2008,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,83,Hf,,,,,,0,,,(7/2-),843,,30,ms,0.843,0.03,EC+B+,100,,,,,,,,,,,,,-10322,424,,,4808,425,8235.056,300.617,9651,424,1932,361,7929,2,154963167,322,-34310,300,Y,1981,21-Oct-2019,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,84,Hf,,,,,,0,,,0+,23,,1,ms,0.023,0.001,A,100,,,,,,,,,,,,,-11819,335,-21903,336,6025.9559,3.0801,5880.036,159.221,11581,335,2563.4294,150.9719,7952.6676,0.9599,155959399.083,160.752,-37819.514,149.740,N,1979,1-Mar-2012,C. W. REICH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,85,Hf,,,,,,0,,,(7/2-),115,,1,ms,0.115,0.001,A,94,4,EC+B+,14,9,,,,,,,,,-9259,250,-20925,361,5880.0072,3.0595,7584.818,200.364,9107,250,2444,207,7960,1,156958288,215,-38855,200,Y,1965,4-Dec-2015,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,86,Hf,,,,,,0,,,0+,2.85,,7,s,2.85,0.07,EC+B+,55.7,1.9,A,44.3,1.9,,,,,,,,,-10984,201,-20577.7699,151.0686,5404.7775,2.7180,5109.801,23.126,11319,201,2951.5527,21.2489,7981.2764,0.1107,157954801.217,18.780,-42102.399,17.494,N,1965,1-Feb-2017,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,87,Hf,,,,,,0,,,7/2-,5.6,,4,s,5.6,0.4,EC+B+,65,7,A,35,7,,,,,,,,,-8413.4492,25.8909,-19806,201,5225.092,2.6686,6856.003,41.245,8821.5247,24.2631,2929.3767,22.6148,7986.561,0.1057,158953995.837,18.049,-42852.606,16.813,N,1973,31-Dec-2010,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,88,Hf,,,,,,0,,,0+,13.6,,2,s,13.6,0.2,EC+B+,99.3,0.2,A,0.7,0.2,,,,,,,,,-10115.0475,55.1472,-19570.9084,21.8761,4901.8746,2.5862,4331.195,57.616,11157.4592,19.3311,3519.1092,38.8527,8006.3791,0.0596,159950682.728,10.241,-45938.747,9.540,N,1973,1-May-2021,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,89,Hf,,,,,,0,,,(7/2-),18.4,,4,s,18.4,0.4,EC+B+,99.87,,A,0.13,,,,,,,,,,-7537.2421,33.7278,-18563.4357,59.1618,4679.1789,25.0152,6246.532,36.48,8448.3882,25.2515,3334.8461,61.4700,8009.1245,0.1457,160950277.927,25.174,-46315.817,23.450,N,1973,31-DEC-2014,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,90,Hf,,,,,,0,,,0+,39.4,,9,s,39.4,0.9,EC+B+,99.992,0.001,A,0.008,0.001,,,,,,,,,-9387.0211,63.8938,-18461.1686,25.9578,4416.2789,4.8624,3663.333,75.568,10923.9265,25.0900,3895.0476,29.3436,8027.1171,0.0553,161947215.526,9.610,-49168.426,8.952,N,1982,1-Mar-2007,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,91,Hf,,,,,,0,,,(5/2-),40.0,,6,s,40,0.6,EC+B+,100,,A,0.0001,,,,,,,,,,-6734.6864,45.9217,-17559.2337,68.3364,4139.281,31.1326,5522.095,37.961,8172.2126,27.2078,3726.5322,79.3127,8028.0072,0.1576,162947107.211,27.582,-49269.320,25.693,N,1982,31-DEC-2014,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,92,Hf,,,,,,0,,,0+,111,,8,s,111,8,EC+B+,100,,,,,,,,,,,,,-8535.5511,32.1083,-17355.0404,41.2154,3919.9548,16.7401,2824.02,32.10,10620.3539,30.1687,4315.9126,32.1083,8043.8142,0.0964,163944370.709,16.975,-51818.356,15.812,N,1981,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
72,93,Hf,,,,,,0,,,(5/2-),76,,4,s,76,4,EC+B+,100,,,,,,,,,,,,,-5787.641,31.0668,-16424.0257,39.5199,3773.8196,31.7640,4806.735,38.539,7888.4745,32.1083,4282.1081,39.5199,8042.8728,0.1694,164944567,30.000,-51635.513,27.945,N,1981,15-Apr-2006,ASHOK K. JAIN AND ANWESHA GHOSH and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
