z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
73,82,Ta,,,,,X,0,,,11/2-,2.9,,+15-11,ms,0.0029,0.0013,P,100,,,,,,,,,,,,,,,,,3887,424,10322.0,424.2,,,-1452.9999,15.0000,7858,2,154974248,322,-23988,300,Y,2007,21-Oct-2019,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
73,83,Ta,,,,,,0,,,(2-),106,,4,ms,0.106,0.004,P,71,3,EC+B+,29,3,,,,,,,,,,,,,4996,358,11818.514,335.294,10084,424,-1019.7972,4.2690,7872,2,155972087,322,-26001,300,Y,1992,1-Mar-2012,C. W. REICH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
73,84,Ta,,,,,,0,,,1/2+,10.1,,4,ms,0.0101,0.0004,A,96.6,1.2,P,3.4,1.2,,,,,,,,,-9906,427,,,6354.5987,6.2869,9259.052,250.031,11666,335,-934.5958,9.6737,7896.0608,0.9557,156968227.445,161.087,-29595.948,150.052,N,1979,4-Dec-2015,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
73,85,Ta,,,,,,0,,,(2-),55,,15,ms,0.055,0.015,A,91,,EC+B+,9,,,,,,,,,,-7426,361,-19500,447,6123.6044,4.3503,10984.399,201.76,9594,251,-447.6541,12.9040,7907,1,157966593,215,-31118,201,Y,1979,1-Feb-2017,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
73,86,Ta,,,,,,0,,,1/2+,0.83,,18,s,0.83,0.18,EC+B+,66,5,A,34,5,,,,,,,,,-9005,301,-18818,301,5680.9834,6.0667,8413.449,25.891,11392,202,-374.2715,9.0354,7928.7258,0.1238,158963028.046,21.137,-34439.157,19.689,N,1979,31-Dec-2010,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
73,87,Ta,,,,,,0,,,,1.55,,4,s,1.55,0.04,A,34,,,,,,,,,,,,,-6494.6267,139.8413,-18461,305,5450.9341,4.5870,10115.047,55.147,9455.8609,57.7742,260.0647,56.8584,7938.2704,0.3395,159961541.678,58.310,-35823.700,54.316,N,1979,1-May-2021,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
73,88,Ta,,,,,,0,,,(1/2+),,,,,,,A,,,EC+B+,,,,,,,,,,,-8272,202,-17520.8202,151.7815,5236.3268,23.8420,7537.242,33.828,11026.1935,59.5370,128.7990,23.3873,7957.45,0.1514,160958369.489,26.174,-38778.575,24.381,N,1979,1-Jun-2011,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
73,89,Ta,,,,,,0,,,,3.57,,12,s,3.57,0.12,EC+B+,99.926,0.01,A,0.074,0.01,ECP,,,,,,,,-5782.188,63.3235,-17346,210,5005.8799,61.4896,9387.021,63.952,9074.1475,67.8524,754.5584,67.5239,7964.3432,0.3909,161957292.907,67.979,-39781.405,63.322,N,1985,31-JUL-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
73,90,Ta,,,,,,0,,,,10.6,,18,s,10.6,1.8,EC+B+,99.8,,A,0.2,,,,,,,,,,-7626.1952,69.7301,-16606.7352,41.9578,4749.0593,5.4915,6734.686,45.921,10824.5473,73.8810,655.1792,39.1000,7981.8905,0.2335,162954337.194,40.860,-42534.634,38.061,N,1985,12-Apr-2010,C. W. REICH and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
73,91,Ta,,,,,,0,,,(3+),14.2,,3,s,14.2,0.3,EC+B+,100,,A,,,,,,,,,,,-5047.25,29.5717,-16445.6844,64.7651,4562.2214,63.3210,8535.551,32.108,8819.4892,47.2185,1302.4558,37.9611,7986.9978,0.1704,163953534,30.000,-43282.805,27.945,N,1982,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
