property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Body-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
space_group,Im_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,Número de grupo espacial: 229.,Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
lattice_constants,"330.13, 330.13, 330.13",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
thermal_conductivity,57,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
electrical_conductivity,7.7,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
electrical_resistivity,1.3e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
magnetic_susceptibility_mass,1.07e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
magnetic_susceptibility_molar,1.936e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
magnetic_susceptibility_volume,0.0001782,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
superconducting_point,4.47,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
bulk_modulus,200,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
shear_modulus,69,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
young_modulus,186,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
poisson_ratio,0.34,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
mohs_hardness,6.5,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
vickers_hardness,873,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
brinell_hardness,800,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
speed_of_sound,3400,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
thermal_expansion,6.3e-06,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Tantalum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Ta-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,330.13,330.13,330.13,π/2,π/2,π/2
