obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""200.105""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""200.162""","=""200.163""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""0.412313""","=""6.606488""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L153""",
"=""200.180""","=""200.179""","=""0.003""","=""1""","=""""","=""""","=""""","=""""",,"=""0.771099""","=""6.964766""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L153""",
"=""200.312""","=""""","=""""","=""5""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""200.758""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""200.928""","=""200.930""","=""0.003""","=""1""","=""""","=""""","=""""","=""""",,"=""0.771099""","=""6.941615""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""5""",9,11,,"=""""","=""L153""",
"=""200.956""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""201.537""","=""201.540""","=""0.003""","=""1""","=""""","=""""","=""""","=""""",,"=""0.412313""","=""6.564155""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L153""",
"=""201.705""","=""201.710""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""0.771099""","=""6.917758""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""5""",9,11,,"=""""","=""L153""",
"=""202.076""","=""202.081""","=""0.003""","=""5""","=""""","=""""","=""""","=""""",,"=""0.365913""","=""6.501290""","=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L153""",
"=""202.246""","=""202.250""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""6.130238""","=""5d4.6s2""","=""5D""","=""0""","=""""","=""*""","=""1""",1,3,,"=""""","=""L153""",
"=""202.269""","=""202.266""","=""0.003""","=""2""","=""""","=""""","=""""","=""""",,"=""0.598844""","=""6.728594""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L153""",
"=""202.452""","=""""","=""""","=""5""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""203.084""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""203.101""","=""203.103""","=""0.003""","=""2""","=""""","=""""","=""""","=""""",,"=""0.771099""","=""6.875587""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""5""",9,11,,"=""""","=""L153""",
"=""203.542""","=""203.545""","=""0.003""","=""4""","=""""","=""""","=""""","=""""",,"=""0.598844""","=""6.690098""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L153""",
"=""203.611""","=""203.613""","=""0.003""","=""2""","=""""","=""""","=""""","=""""",,"=""0.365913""","=""6.455123""","=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L153""",
"=""203.757""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""204.004""","=""204.004""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""0.598844""","=""6.676379""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L153""",
"=""204.482""","=""204.479""","=""0.003""","=""1""","=""""","=""""","=""""","=""""",,"=""0.365913""","=""6.429337""","=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L153""",
"=""204.640""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""204.814""","=""204.816""","=""0.003""","=""3*""","=""""","=""""","=""""","=""""",,"=""0.207090""","=""6.260525""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L153""",
"=""204.814""","=""204.817""","=""0.003""","=""3*""","=""""","=""""","=""""","=""""",,"=""0.771099""","=""6.824504""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L153""",
"=""204.969""","=""204.968""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""6.048949""","=""5d4.6s2""","=""5D""","=""0""","=""""","=""*""","=""1""",1,3,,"=""""","=""L153""",
"=""205.170""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""205.260""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""205.4172""","=""205.417""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""0.771099""","=""6.806844""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L153""",
"=""205.9275""","=""205.929""","=""0.003""","=""10""","=""""","=""""","=""""","=""""",,"=""0.598844""","=""6.619568""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L153""",
"=""206.119""","=""206.120""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""0.598844""","=""6.614002""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L153""",
"=""206.197""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""206.3413""","=""206.344""","=""0.003""","=""4""","=""""","=""""","=""""","=""""",,"=""1.868433""","=""7.877061""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""6""",11,13,,"=""""","=""L153""",
"=""206.376""","=""206.377""","=""0.003""","=""6""","=""""","=""""","=""""","=""""",,"=""0.598844""","=""6.606488""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L153""",
"=""206.517""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
