z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
75,84,Re,,,,,,0,,,(1/2+),,,,,,,,,,,,,,,,,,,,,,,,,6758,55,10629.0,427.8,,,-1599,53,7795,2,158984106,327,-14805,305,Y,2006,31-Dec-2010,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,85,Re,,,,,,0,,,(4-),612,,7,us,0.000612,0.000007,P,89,1,A,11,1,,,,,,,,,,,,,6697.7533,4.1028,12451.073,335.325,10145,427,-1266.6628,6.9047,7810,2,159981880,322,-16878,300,Y,1992,1-May-2021,N. NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,86,Re,,,,,,0,,,1/2+,0.44,,1,ms,0.00044,0.00001,P,100,,A,1.4,,,,,,,,,,-10647,427,,,6328.2117,6.6894,9664.18,249.94,12036,335,-1197.2819,5.3382,7836.3292,0.9311,160977624.313,160.930,-20842.820,149.905,N,1979,1-Jun-2011,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,87,Re,,,,,,0,,,(2-),107,,13,ms,0.107,0.013,A,94,6,EC+B+,6,6,,,,,,,,,-7953,361,-20328,447,6240.3702,5.1268,11546.217,201.774,9681,250,-765.1427,11.2731,7848,1,161975896,215,-22453,201,Y,1979,1-Mar-2007,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,88,Re,,,,,,0,,,1/2+,390,,72,ms,0.39,0.072,EC+B+,68,3,A,32,3,,,,,,,,,-9666,301,-19574,301,6011.9883,7.7655,8906.186,61.295,11621,201,-707.9928,5.6330,7870.8655,0.1137,162972085.434,19.897,-26002.253,18.534,N,1979,10-JUN-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,89,Re,,,,,,0,,,,0.70,,16,s,0.7,0.16,A,58,,EC+B+,42,,,,,,,,,,-7047.718,140.0330,-19207,305,5926.3426,5.0993,10763.114,55.406,9541.5065,57.6170,-147.0263,79.9363,7881.0523,0.3326,163970507.122,58.566,-27472.441,54.555,N,1979,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,90,Re,,,,,,0,,,(1/2+),1.6,,6,s,1.6,0.6,EC+B+,86,8,A,14,8,,,,,,,,,-8913,202,-18305.9483,151.7479,5694.3058,6.1494,8201.963,34.929,11258.2303,59.4377,-287.2305,22.5090,7901.5201,0.1430,164967085.831,25.328,-30659.353,23.593,N,1981,12-JUN-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,91,Re,,,,,,0,,,,2.25,,21,s,2.25,0.21,EC+B+,76,,A,24,,,,,,,,,,-6405.809,88.3046,-18162,219,5519.1536,61.4560,10050.136,88.748,9249.2997,91.3399,264.9900,91.9233,7909.6392,0.5316,165965821.216,94.731,-31837.335,88.242,N,1978,1-Mar-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,92,Re,,,,,,0,,,(9/2-),5.9,,3,s,5.9,0.3,EC+B+,99,,A,1,,,,,,,,,,-8335,90,-17474,44,5276,13,7259.212,44.157,11068,97,235,41,7929,0,166962604,43,-34834,40,Y,1992,5-Jul-2000,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,93,Re,,,,,,0,,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,A,0.005,,,,,,,,,,-5799.8944,32.3727,-17367.3469,86.5647,5062.9999,13.0000,9098.041,33.552,9032,51,990.6481,36.0517,7935.1208,0.1835,167961572.607,33.087,-35794.889,30.821,N,1992,15-Jun-2010,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,94,Re,,,,,,0,,,(9/2-),8.1,,5,s,8.1,0.5,EC+B+,100,0.01,A,0.01,,,,,,,,,,-7686.2626,28.3218,-16485.5703,15.0774,5013.7087,13.2102,6508.619,19.171,10685.6759,32.8506,805.2878,16.0312,7951.3963,0.0673,168958765.979,12.204,-38409.247,11.369,N,1978,15-Mar-2015,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,95,Re,,,,,,0,,,(5+),9.2,,2,s,9.2,0.2,EC+B+,100,,,,,,,,,,,,,-4978.3046,15.0274,-16252.3298,28.3454,4768.8681,30.1911,8386.808,17.455,8566.0672,16.1195,1275.1007,19.2056,7955.012,0.0672,169958234.844,12.267,-38903.996,11.427,N,1974,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,96,Re,,,,,,0,,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,,,,,,,,,,,,-6953.0469,33.3748,-15395.9113,29.5998,4675.8637,39.5199,5835.81,39.52,10417.6067,30.1911,1248.4514,30.9035,7969.4131,0.1634,170955716,30.000,-41250.285,27.945,N,1987,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,97,Re,,,,,X,0,,0,(5+),15,,3,s,15,3,EC+B+,100,,,,,,,,,,,,,-4323.1979,37.7890,-15340.9188,39.9752,4402.1586,45.2323,7530.352,45.233,8387.8718,45.2323,1769.7143,45.2323,7971.846,0.2068,171955376.165,38.183,-41566.839,35.568,N,1977,31-DEC-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,98,Re,,,,,,0,,,(5/2-),1.98,,26,m,118.8,15.6,EC+B+,100,,,,,,,,,,,,,-6115.6196,31.6968,-14381.5471,30.7225,4311.6495,39.5199,5173.518,39.52,10058.3492,45.2323,1745.6497,39.5199,7983.9068,0.1615,172953243,30.000,-43553.870,27.945,N,1986,1-Oct-1993,V. S. SHIRLEY,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,99,Re,,,,,,0,,,,2.40,,4,m,144,2.4,EC+B+,100,,,,,,,,,,,,,-3677.7177,29.7667,-14306.1689,31.6968,4039.6532,39.5199,6553.992,39.52,8190.5493,39.5199,2234.6841,39.5199,7985.0944,0.1606,173953115,30.000,-43673.101,27.945,N,1972,1-Nov-1998,E. BROWNE and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
75,100,Re,,,,,,0,,,(5/2-),5.89,,5,m,353.4,3,EC+B+,100,,,,,,,,,,,,,-5182.9513,30.3243,-13364.2465,29.7667,4007.0509,39.5199,4344.488,39.52,9686.5288,39.5199,2350.1893,39.5199,7994.8168,0.1597,174951381,30.000,-45288.312,27.945,N,1967,1-Jun-2004,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
