property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Hexagonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
space_group,P63/mmc,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 194.,Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
lattice_constants,"276.1, 276.1, 445.6",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
lattice_angles,"π/2, π/2, 2 π/3",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
thermal_conductivity,48,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
electrical_conductivity,5.6,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
electrical_resistivity,1.8e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
magnetic_susceptibility_mass,4.56e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
magnetic_susceptibility_molar,8.49e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
magnetic_susceptibility_volume,9.59e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
superconducting_point,1.7,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
bulk_modulus,370,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
shear_modulus,178,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
young_modulus,463,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
poisson_ratio,0.3,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
mohs_hardness,7,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
vickers_hardness,2450,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
brinell_hardness,1320,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
speed_of_sound,4700,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
thermal_expansion,6.2e-06,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Rhenium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Re-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,276.1,276.1,445.6,π/2,π/2,2 π/3
