z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
76,85,Os,,,,,,0,,,(7/2-),0.64,,6,ms,0.00064,0.00006,A,100,,,,,,,,,,,,,,,,,7068.8572,10.5526,10646.82,427.16,,,607,500,7765,2,160989054,429,-10196,400,Y,2010,1-Jun-2011,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
76,86,Os,,,,,,0,,,0+,2.1,,1,ms,0.0021,0.0001,A,99,,,,,,,,,,,,,,,,,6767.7834,2.8802,7953.0,361.1,12375,500,946,335,7794,2,161984434,322,-14500,300,Y,1989,1-Mar-2007,C. W. Reich,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
76,87,Os,,,,,,0,,,(7/2-),5.5,,6,ms,0.0055,0.0006,A,100,,EC+B+,,,,,,,,,,,-11026,500,,,6672.5656,7.1041,9666.253,300.572,9908,424,1173,361,7807,2,162982462,322,-16336,300,Y,1981,10-JUN-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
76,88,Os,,,,,,0,,,0+,21,,1,ms,0.021,0.001,A,96,,EC+B+,4,,,,,,,,,,-12941,350,-23186,427,6479.4339,5.2574,7047.718,159.522,12160,335,1711.4416,151.0441,7833.308,0.9140,163978073.158,160.927,-20424.723,149.903,N,1981,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
76,89,Os,,,,,,0,,,(7/2-),71,,3,ms,0.071,0.003,A,90,2,EC+B+,10,2,,,,,,,,,-10151,255,-22335,374,6335.4935,5.6497,8912.353,201.387,9393,250,1563,208,7843,1,164976654,215,-21747,200,Y,1978,10-OCT-2014,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
76,90,Os,,,,,,0,,,0+,213,,5,ms,0.213,0.005,A,72,13,EC+B+,28,13,,,,,,,,,-12126,201,-21908,159,6142.7746,3.3150,6405.809,90.052,11756,201,2061.1437,29.6517,7866.3371,0.1082,165972698.135,19.287,-25431.526,17.966,N,1977,1-Mar-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
76,91,Os,,,,,,0,,,(7/2-),0.81,,6,s,0.81,0.06,A,57,8,EC+B+,43,8,,,,,,,,,-9426.4121,82.9464,-21265,216,5984.6624,55.9458,8335.14,90.24,9138.6522,82.8632,1950.4962,119.7084,7873.9557,0.4844,166971552.304,86.841,-26498.860,80.892,N,1977,8-SEPT-2009,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
76,92,Os,,,,,,0,,,0+,2.1,,1,s,2.1,0.1,EC+B+,57,4,A,43,4,,,,,,,,,-11328.7644,56.0975,-20993.8646,20.8452,5815.6444,2.6987,5799.894,32.373,11567.4525,81.4961,2450,41,7895.9408,0.0589,167967799.05,10.631,-29994.995,9.903,N,1977,15-Jun-2010,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
76,93,Os,,,,,,0,,,(5/2-),3.43,,14,s,3.43,0.14,EC+B+,86.3,0.8,A,13.7,0.8,,,,,,,,,-8629.5684,34.8557,-20128.0722,61.0060,5713.4159,3.0863,7686.263,28.322,8799.3077,27.7548,2217.0663,40.2838,7901.2862,0.1535,168967017.521,27.847,-30722.984,25.940,N,1972,15-Jun-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
76,94,Os,,,,,,0,,,0+,7.37,,18,s,7.37,0.18,EC+B+,90.5,1,A,9.5,1,,,,,,,,,-10743,102,-19903.5936,25.2528,5536.8635,2.6907,4978.304,15.027,11274.0252,27.7132,2805.4156,14.9829,7921.1258,0.0574,169963579.273,10.476,-33925.692,9.759,N,1972,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
