z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
77,87,Ir,,,,,,0,,,,,,,,,,EC+B+,,,A,,,P,,,,,,,,,,,,6970,100,12941.723,349.753,10244,510,-1564,100,7750,2,163991966,339,-7483,316,Y,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
77,88,Ir,,,,,,0,,,(1/2+),1,LT,,us,0.000001,,P,,,A,,,,,,,,,,,-11277,430,,,6823,50,10152.0,254.8,12183,354,-1541,50,7776,1,164987552,170,-11595,158,Y,,15-Apr-2006,ASHOK K. JAIN AND ANWESHA GHOSH and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
77,89,Ir,,,,,,0,,,(2-),10.5,,22,ms,0.0105,0.0022,A,93,3,P,7,3,,,,,,,,,-8523,361,-21059,447,6722.3507,5.5825,12125.526,201.801,9782,255,-1151.9999,8.0000,7789,1,165985716,215,-13306,201,Y,1981,1-Mar-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
77,90,Ir,,,,,,0,,,1/2+,35.2,,20,ms,0.0352,0.002,A,48,6,P,32,4,EC+B+,20,10,,,,,,-10319,307,-20361,301,6504.8887,2.6357,9426.412,82.946,11838,201,-1070.1069,3.7140,7812.8254,0.1099,166981671.973,19.694,-17072.448,18.346,N,1981,1-Aug-2001,A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
77,91,Ir,,,,,,0,,,,222,,+60-40,ms,0.222,0.05,A,100,,EC+B+,,,P,,,,,,,,-7656.1526,140.3258,-19984,311,6381.295,8.5238,11328.765,56.097,9665.1002,58.1844,-543.6589,97.9407,7823.8509,0.3287,167979960.978,59.277,-18666.230,55.216,N,1978,15-Jun-2010,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
77,92,Ir,,,,,,0,,,(1/2+),0.353,,4,s,0.353,0.004,A,45,12,EC+B+,,,P,,,,,,,,-9629,202,-19154.6563,151.7348,6141.0216,3.6646,8629.568,34.873,11498.5037,59.9338,-612.6077,22.1032,7845.5944,0.1379,168976281.743,25.020,-22093.416,23.307,N,1978,15-Jun-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
77,93,Ir,,,,,,0,,,(3-),0.87,,+18-12,s,0.87,0.15,EC+B+,94.8,1.7,A,5.2,1.7,,,,,,,,,-6883,102,-18790,225,6230,50,10743.692,101.47,9160,104,-252,105,7853,1,169975113,109,-23182,101,Y,1977,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
77,94,Ir,,,,,,0,,,(1/2+),3.2,,+13-7,s,3.2,1,EC+B+,85,2,A,15,2,,,,,,,,,-8945.4613,89.6251,-18184.1459,42.5744,5997,12,7885.208,42.574,11301,108,-224.6904,39.6849,7873.4895,0.2249,170971645.52,41.295,-26412.030,38.466,N,1967,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
77,95,Ir,,,,,X,0,,0,(3- 4-),4.4,,3,s,4.4,0.3,EC+B+,98,,A,2,,,,,,,,,,-6272.7035,34.0232,-17984.1227,87.1947,5990.5999,10.0000,9864.268,34.826,9038.6614,50.2948,371.1065,37.1871,7880.2637,0.1884,171970607.035,34.785,-27379.373,32.402,N,1967,31-DEC-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
77,96,Ir,,,,,,0,,,(3/2+ 5/2+),9.0,,8,s,9,0.8,EC+B+,93,,A,7,,,,,,,,,,-8331.6974,64.3014,-17233.1039,14.7915,5715.8754,9.0040,7169.794,18.3,10960.4004,34.0740,313.7861,14.9061,7898.068,0.0609,172967505.477,11.316,-30268.456,10.542,N,1967,15-AUG-2015,J. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
