z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
78,87,Pt,,,,,,0,,,(7/2-),0.26,,+26-9,ms,0.00026,0.000175,A,100,,,,,,,,,,,,,,,,,7453.005,14.3485,,,,,124,510,7703,2,164999658,429,-318,400,Y,2019,04-Jun-2021,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,88,Pt,,,,,,0,,,0+,300,,100,us,0.0003,0.0001,A,100,,,,,,,,,,,,,,,,,7292.2662,7.2334,8523.0,361.1,12536,500,476,339,7733,2,165994866,322,-4783,300,Y,1996,1-Mar-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,89,Pt,,,,,,0,,,,0.7,,2,ms,0.0007,0.0002,A,100,,,,,,,,,,,,,,,,,7158.0892,61.5773,10319.448,306.549,10042,429,737,366,7746,2,166992750,329,-6753,306,Y,1996,5-Jul-2000,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,90,Pt,,,,,,0,,,0+,2.02,,10,ms,0.00202,0.0001,A,100,,,,,,,,,,,,,-13540,427,,,6989.7297,3.0733,7656.152,159.778,12328,341,1226.6006,151.0524,7773.6217,0.8925,167988180.196,160.960,-11010.078,149.934,N,1981,15-Jun-2010,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,91,Pt,,,,,,0,,,(7/2-),7.0,,2,ms,0.007,0.0002,A,100,,,,,,,,,,,,,-10676,359,-23065,447,6857.6107,5.1214,9629.416,201.353,9525,250,1087,208,7784,1,168986619,215,-12464,200,Y,1981,15-Jun-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,92,Pt,,,,,,0,,,0+,13.8,,5,ms,0.0138,0.0005,A,98,2,EC+B+,2,,,,,,,,,,-12596,202,-22582,299,6707.4081,3.1863,6882.798,102.635,11906,201,1494.7573,29.5964,7808.2365,0.1073,169982502.087,19.588,-16299.202,18.246,N,1981,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,93,Pt,,,,,,0,,,(7/2-),45.5,,25,ms,0.0455,0.0025,A,90,7,EC+B+,10,7,,,,,,,,,-9904.2655,83.5586,-21835,217,6607.3757,3.0768,8945.461,89.625,9238.6846,82.9815,1573,130,7816.6017,0.4734,170981248.868,86.904,-17466.569,80.951,N,1981,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,94,Pt,,,,,,0,,,0+,97.6,,13,ms,0.0976,0.0013,A,94,6,EC+B+,6,6,,,,,,,,,-11788.6592,57.1082,-21615.6847,23.1640,6463.409,4.0389,6272.703,34.023,11711.4192,81.6129,1983.6109,39.8411,7839.246,0.0603,171977341.059,11.139,-21106.670,10.376,N,1981,15-Mar-2010,TIBOR KIBEDI AND CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,95,Pt,,,,,,0,,,(5/2-),382,,2,ms,0.382,0.002,A,86,4,EC+B+,16,6,,,,,,,,,-9104.7415,67.3903,-20690.0658,84.7186,6361.3102,57.8850,8331.698,64.301,8901.4066,64.2690,1846.3561,71.2283,7845.3856,0.3667,172976449.922,68.096,-21936.758,63.431,N,1966,15-AUG-2015,J. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,96,Pt,,,,,,0,,,0+,0.889,,17,s,0.889,0.017,A,76,8,EC+B+,24,8,,,,,,,,,-11259,102,-20556.9087,25.0039,6183.1682,3.4119,5468.329,15.257,11452.1672,64.2677,2338.1229,14.7649,7866.1143,0.0594,173972820.431,11.098,-25317.608,10.338,N,1966,1-Nov-1998,E. BROWNE and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,97,Pt,,,,,,0,,,7/2-,2.53,,6,s,2.53,0.06,A,64,5,EC+B+,36,5,,,,,,,,,-8304.998,42.8203,-19722,103,6163.6377,3.9932,7685.827,22.357,8462.3949,21.2920,2211.7186,21.7346,7869.5216,0.1064,174972400.593,19.982,-25708.684,18.614,N,1966,1-Jun-2004,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,98,Pt,,,,,,0,,,0+,6.33,,15,s,6.33,0.15,EC+B+,60,2,A,40,2,,,,,,,,,-10412.9516,35.5363,-19601.5502,40.6043,5884.8064,2.0421,4948.005,15.065,11296.5522,22.5392,2828.3787,17.7476,7888.9934,0.0722,175968938.162,13.647,-28933.918,12.712,N,1966,15-Sep-2005,M.S. BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,99,Pt,,,,,,0,,,5/2-,10.0,,4,s,10,0.4,EC+B+,94.3,0.5,A,5.7,0.5,,,,,,,,,-7824.7003,17.9991,-18920.7878,36.4123,5642.8977,2.7340,6676.988,24.801,8507.8361,19.6499,2777.4850,17.0295,7892.4896,0.0847,176968469.541,16.090,-29370.437,14.988,N,1966,30-Aug-2019,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,100,Pt,5.3728,0.0066,,,,0,,,0+,20.7,,7,s,20.7,0.7,EC+B+,92.3,0.3,A,7.7,0.3,,,,,,,,,-9694.4567,14.4108,-18523.0674,14.2116,5572.9819,2.2037,4256.828,21.375,10698.3671,18.0874,3239.0321,22.2067,7908.253,0.0569,177965649.288,10.878,-31997.486,10.133,N,1966,31-May-2008,E. Achterberg and  O.A. Capurro and  G.V. Marti,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
78,101,Pt,5.3915,0.0050,,,,0,,,1/2-,21.2,,4,s,21.2,0.4,EC+B+,99.76,0.03,A,0.24,0.03,,,,,0.43,0.03,,,-7279.5556,14.1567,-18036.4165,12.9852,5412.3174,9.4588,5813.592,12.614,8341.9598,12.8834,3302.7846,20.4413,7910.6759,0.0446,178965358.742,8.563,-32268.127,7.977,N,1966,15-Nov-2008,Coral M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
