obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""147.41931""","=""0.00020""","=""147.41922""","=""0.00009""","=""760""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""8.512435""","=""5d8.6s2""","=""3F""","=""4""","=""""","=""w*""","=""3""",9,7,,"=""""","=""L11529""",
"=""148.1049""","=""0.0010""","=""148.1048""","=""0.0011""","=""70""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""8.47350""","=""5d8.6s2""","=""3F""","=""4""","=""5d8.6s.7p""","=""u*""","=""3 or 4""",9,1,,"=""""","=""L11529""",
"=""148.27280""","=""0.00020""","=""148.27287""","=""0.00009""","=""260""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""8.464014""","=""5d8.6s2""","=""3F""","=""4""","=""5d8.6s.7p""","=""t*""","=""5""",9,11,,"=""""","=""L11529""",
"=""148.9829""","=""0.0010""","=""148.98340""","=""0.00007""","=""52""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""8.322014""","=""5d9.6s""","=""3D""","=""3""","=""5d9.7p""","=""(3/2,3/2)*""","=""3""",7,7,,"=""""","=""L11529""",
"=""150.17275""","=""0.00020""","=""150.172783""","=""0.000009""","=""800""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""8.3582240""","=""5d8.6s2""","=""3F""","=""4""","=""5d8.6s.7p""","=""s*""","=""5 or 4""",9,1,,"=""""","=""L11529""",
"=""150.7259""","=""0.0010""","=""150.72568""","=""0.00007""","=""86""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""8.322014""","=""5d9.6s""","=""a 1D""","=""2""","=""5d9.7p""","=""(3/2,3/2)*""","=""3""",5,7,,"=""""","=""L11529""",
"=""150.83427""","=""0.00020""","=""150.83432""","=""0.00007""","=""340""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""8.322014""","=""5d8.6s2""","=""3F""","=""4""","=""5d9.7p""","=""(3/2,3/2)*""","=""3""",9,7,,"=""""","=""L11529""",
"=""151.85424""","=""0.00020""","=""151.854485""","=""0.000007""","=""390""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""8.1646715""","=""5d9.6s""","=""3D""","=""3""","=""""","=""o*""","=""4""",7,9,,"=""""","=""L11529""",
"=""152.30737""","=""0.00020""","=""152.30749""","=""0.00007""","=""390""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""8.236584""","=""5d9.6s""","=""a 1D""","=""2""","=""""","=""q*""","=""1""",5,3,,"=""""","=""L11529""",
"=""152.64791""","=""0.00020""","=""152.64798""","=""0.00012""","=""620""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""8.122230""","=""5d9.6s""","=""3D""","=""3""","=""""","=""l*""","=""3""",7,7,,"=""""","=""L11529""",
