z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
79,91,Au,,,,,,0,,,(2-),0.29,,+5-4,ms,0.00029,0.000045,P,89,10,A,11,10,,,,,,,,,-9119,362,,,7177.3107,15.3045,12596.202,201.826,9986,359,-1471.6999,12.0000,7730,1,169996024,216,-3703,201,Y,2002,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
79,92,Au,,,,,,0,,,(1/2+),22,,+3-2,us,0.000022,0.0000025,P,100,,,,,,,,,,,,,-10901,307,-21049,302,7085.2291,10.6974,9904.266,83.559,11930,202,-1447.9279,9.8036,7754.1069,0.1211,170991881.533,22.236,-7562.303,20.713,N,1997,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
79,93,Au,,,,,,0,,,,22,,+6-4,ms,0.022,0.005,A,100,,P,,,EC+B+,,,,,,,,-8256.6495,140.8350,-20728,312,6923.3037,10.2385,11788.659,57.109,9827.0255,59.8558,-859.5870,98.5225,7766.1587,0.3265,171989996.704,60.287,-9318.011,56.158,N,1993,15-Mar-2010,TIBOR KIBEDI AND CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
79,94,Au,,,,,,0,,,(1/2+),26.3,,12,ms,0.0263,0.0012,A,94,19,P,,,EC+B+,,,,,,,,-10171,202,-19841.9738,151.7815,6836.4832,4.9138,9104.741,67.398,11585.3243,60.6032,-985.6819,21.2865,7788.2348,0.1317,172986224.263,24.458,-12832.017,22.783,N,1983,15-AUG-2015,J. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
79,95,Au,,,,,,0,,,,120,,20,ms,0.12,0.02,A,0,,,,,,,,,,,,,-7417,102,-19468,225,6699.2937,7.2378,11259.608,102.523,9298,104,-590,120,7797,1,173984908,109,-14058,102,Y,1983,1-Nov-1998,E. BROWNE and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
79,96,Au,,,,,,0,,,(1/2+),,,,,,,A,90,,,,,,,,,,,,,-9434.2436,89.7876,-18833.9873,43.0832,6583.4278,2.7292,8304.998,42.82,11417,109,-624.9501,39.9247,7817.5939,0.2204,174981316.375,41.399,-17403.686,38.563,N,1975,1-Jun-2004,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
79,97,Au,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,-6736.3283,34.9978,-18622.8421,87.6124,6433.4907,7.1631,10412.951,35.536,9188.5985,50.8756,101.2536,38.0486,7825.3837,0.1885,175980116.925,35.625,-18520.967,33.185,N,1975,15-Sep-2005,M.S. BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
79,98,Au,,,,,,0,,,1/2+,1.501,,20,s,1.501,0.02,EC+B+,60,6,A,40,6,,,,,1.15,0.05,,,-8769.9135,85.3061,-17832.4157,14.9323,6297.8037,3.8888,7824.701,18.0,11096.0874,34.6493,-99.2112,14.4122,7843.8623,0.0563,176976869.701,10.700,-21545.736,9.968,N,1968,30-Aug-2019,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
79,99,Au,,,,,,0,,,,2.6,,5,s,2.6,0.5,EC+B+,60,,A,40,,,,,,,,,,-5987.6832,14.8566,-17598.5242,85.3392,6057.9921,4.5751,9694.457,14.41,8828.6107,14.2948,221.5634,18.1555,7849.3946,0.0576,177976056.714,11.000,-22303.029,10.246,N,1968,31-May-2008,E. Achterberg and  O.A. Capurro and  G.V. Marti,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
79,100,Au,,,,,,0,,,(1/2+ 3/2+),7.1,,3,s,7.1,0.3,EC+B+,78,0.9,A,22,0.9,,,,,1.01,0.05,,,-8055.648,30.4559,-16744.5441,15.8907,5981.0233,5.0452,7279.555,14.157,10756.8609,15.5491,280.0572,15.4748,7865.6374,0.0653,178973173.666,12.555,-24988.572,11.696,N,1968,15-Nov-2008,Coral M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
