property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Trigonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
space_group,R_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,Número de grupo espacial: 166.,Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
lattice_constants,"300.5, 300.5, 300.5",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
lattice_angles,"1.23081, 1.23081, 1.23081",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
thermal_conductivity,8.3,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
electrical_conductivity,1,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
electrical_resistivity,9.6e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
magnetic_susceptibility_mass,-2.1e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
magnetic_susceptibility_molar,-4.21e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
magnetic_susceptibility_volume,-2.84e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Mercury (Element),2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Hg-reference,elemento puro · condiciones de referencia,Simple Trigonal,R_3m,300.5,300.5,300.5,1.23081,1.23081,1.23081
