property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Base-centered Monoclinic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
space_group,C12/m1,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,Número de grupo espacial: 12.,Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
lattice_constants,"667.4, 611.7, 330.4",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
lattice_angles,"π/2, 1.925622, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
thermal_conductivity,8,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
electrical_conductivity,0.77,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
electrical_resistivity,1.3e-06,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
magnetic_type,diamagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
magnetic_susceptibility_mass,-1.7e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
magnetic_susceptibility_molar,-3.6e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
magnetic_susceptibility_volume,-0.00017,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Bismuth,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Bi-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,667.4,611.7,330.4,π/2,1.925622,π/2
