property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Face-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
space_group,Fm_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 225.,Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
lattice_constants,"508.42, 508.42, 508.42",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
thermal_conductivity,54,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
electrical_conductivity,6.7,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
electrical_resistivity,1.5e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
magnetic_susceptibility_mass,7.2e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
magnetic_susceptibility_molar,1.7e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
magnetic_susceptibility_volume,8.4e-05,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
superconducting_point,1.38,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
bulk_modulus,54,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
shear_modulus,31,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
young_modulus,79,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
poisson_ratio,0.27,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
mohs_hardness,3,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
vickers_hardness,350,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
brinell_hardness,400,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
speed_of_sound,2490,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
thermal_expansion,1.1e-05,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Thorium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Th-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,508.42,508.42,508.42,π/2,π/2,π/2
