z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
91,120,Pa,,,,,,0,,,,300,GT,,ns,0.0000003,,A,,,EC+B+,,,P,,,,,,,,,,,,8481.0817,40.7744,8175.83,110.60,,,-703.7339,71.9996,7629.3948,0.3293,211023674.036,74.581,22052.226,69.472,N,2006,28-FEB-2013,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,121,Pa,,,,,,0,,,,5.1,,+51-17,ms,0.0051,0.0034,A,100,,,,,,,,,,,,,,,,,8410.7525,59.3000,9485.637,88.185,8527.0210,111.8076,-431.1556,122.8109,7633.6289,0.4132,212023184.819,94.047,21596.523,87.604,N,1997,1-Aug-2020,K. Auranen and E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,122,Pa,,,,,,0,,,9/2-,5.3,,+40-16,ms,0.0053,0.0028,A,100,,,,,,,,,,,,,,,,,8384.3916,12.2301,7534.086,57.908,10013.6467,104.6083,-254.3369,58.0564,7644.8027,0.2684,213021099.644,61.374,19654.194,57.170,N,1995,1-Jan-2022,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,123,Pa,,,,,,0,,,,17,,3,ms,0.017,0.003,A,100,,,,,,,,,,,,,,,,,8270.8999,52.2015,8764.963,81.905,8265.6176,99.3133,-50.8161,81.7297,7647.7037,0.3795,214020891.055,87.180,19459.895,81.208,N,1995,1-May-2021,Shaofei Zhu and E. A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,124,Pa,,,,,,0,,,(9/2-),14,,2,ms,0.014,0.002,A,100,,,,,,,,,,,,,-7084.7747,132.8246,,,8236.1363,62.5194,6883.103,82.693,9726.6755,115.7273,179.3655,83.1365,7657.3733,0.3835,215019113.955,88.513,17804.537,82.450,N,1979,1-JUN-2021,E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,125,Pa,,,,,,0,,,,0.15,,+6-4,s,0.15,0.05,A,98,,EC,2,,,,,,,,,,-5242.6308,37.3721,-15136.8315,107.0131,8099.2828,11.3392,7525.262,27.033,8052.0568,86.0552,386.6061,25.4478,7659.2006,0.1141,216019134.633,26.459,17823.799,24.647,N,1972,1-Mar-2007,S. -C. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,126,Pa,,,,,,0,,,(9/2-),3.8,,2,ms,0.0038,0.0002,A,100,,,,,,,,,,,,,-5916,81,-14082.9992,30.7428,8488.8028,4.4886,4848.968,16.397,8840.3684,27.6346,532.7599,16.7111,7664.6438,0.0576,217018309.024,13.417,17054.748,12.498,N,1968,1-DEC-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,127,Pa,,,,,,0,,,(8-),109,,5,us,0.000109,0.000005,A,100,,,,,,,,,,,,,-3245.0869,22.5042,-12392,82,9791.3805,11.6121,6282.821,20.714,6476.4981,21.7566,845.1831,20.7635,7659.1935,0.0819,218020021.133,19.158,18649.568,17.846,N,1979,10-Jun-2021,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,128,Pa,,,,,,0,,,9/2-,54,,10,ns,0.000000054,0.00000001,A,100,,,,,,,,,,,,,-4712.7298,70.9693,-11382.7496,71.0403,10127.7574,68.5918,4120.443,89.702,8137.6627,71.9486,1072.4945,70.4933,7661.3783,0.3183,219019949.909,74.831,18583.223,69.705,N,2005,19-May-2021,Balraj Singh et al. and ,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,129,Pa,,,,,X,0,,,,0.78,,16,us,0.00000078,0.00000016,A,100,,EC+B+,0.0000003,,,,,,,,,,-2735,102,-11088.8742,19.8161,9703.745,11.3834,5588.859,20.053,6376.1443,71.2272,1473.3539,58.3300,7655.5364,0.0666,220021769.753,15.732,20278.397,14.655,N,1987,31-Oct-2010,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,130,Pa,,,,,,0,,,9/2-,5.9,,17,us,0.0000059,0.0000017,A,100,,,,,,,,,,,,,-4145.059,93.4311,-10710,117,9247.6999,58.3095,3435.011,59.916,7974.7783,61.1613,1603.5718,60.9287,7656.9809,0.2687,221021873.393,63.746,20374.937,59.380,N,1983,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,131,Pa,,,,,,0,,,,2.9,,+6-4,ms,0.0029,0.0005,A,100,,,,,,,,,,,,,-2208.4729,101.0129,-10526.9531,112.7119,8788.5999,64.6607,4861.322,87.206,6381.8941,105.0026,2164.5359,86.9593,7651.2373,0.3901,222023687.064,92.975,22064.361,86.606,N,1970,31-Mar-2011,Sukhjeet Singh and  A. K. Jain and  Jagdish K. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,132,Pa,,,,,,0,,,,5.1,,6,ms,0.0051,0.0006,A,100,,,,,,,,,,,,,-3707.6637,95.9225,-10006.5375,91.7775,8343.1452,55.4094,2952.212,76.048,7798.0646,114.9703,2154.3956,76.3013,7651.8957,0.3392,223023980.414,81.193,22337.614,75.632,N,1970,1-May-2001,E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,133,Pa,,,,,,0,,,(5-),0.846,,20,s,0.846,0.02,A,100,,,,,,,,,,,,,-1880.3393,16.9711,-10254.2451,59.5136,7693.6799,4.4721,3866.77,12.23,6546.5814,75.9868,2812.0219,10.8666,7646.9612,0.0339,224025617.286,8.145,23862.351,7.587,N,1958,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
91,134,Pa,,,,,,0,,,,1.7,,2,s,1.7,0.2,A,100,,,,,,,,,,,,,-3015.361,82.4514,-9457.3684,83.2622,7400.6757,58.8590,2046.447,82.025,7577.0291,82.1947,2927.9116,82.4124,7646.6504,0.3639,225026147.927,87.887,24356.640,81.867,N,1958,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
