property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Centered Tetragonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
space_group,I4/mmm,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 139.,Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
lattice_constants,"392.5, 392.5, 323.8",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
thermal_conductivity,47,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
electrical_conductivity,5.6,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
electrical_resistivity,1.8e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
magnetic_susceptibility_mass,3.25e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
magnetic_susceptibility_molar,7.509e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
magnetic_susceptibility_volume,0.0004995,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
superconducting_point,1.41,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Protactinium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pa-reference,elemento puro · condiciones de referencia,Centered Tetragonal,I4/mmm,392.5,392.5,323.8,π/2,π/2,π/2
