obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""350.597""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""357.158""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""357.284""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""361.910""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""363.756""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""370.379""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""375.374""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""387.445""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""393.294""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""398.295""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""398.336""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""603.745""","=""""","=""3000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""616.427""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""636.037""","=""""","=""3000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""638.101""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""644.075""","=""""","=""3000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""679.462""","=""""","=""3000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""694.764""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""696.201""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""696.370""","=""""","=""3000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""699.466""","=""""","=""3000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""707.822""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""710.290""","=""""","=""3000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""711.685""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""717.353""","=""""","=""3000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""722.912""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""732.081""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""737.028""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""747.395""","=""""","=""3000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""749.521""","=""""","=""10000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""756.034""","=""""","=""3000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""761.029""","=""""","=""10000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""762.889""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""763.728""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""767.145""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""768.131""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""775.132""","=""""","=""10000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""787.512""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""794.775""","=""""","=""3000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""804.155""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""810.207""","=""""","=""10000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""820.129""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""827.414""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""836.128""","=""""","=""3000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""837.190""","=""""","=""3000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""844.336""","=""""","=""3000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""853.500""","=""""","=""10000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""857.532""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""864.228""","=""""","=""3000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""865.589""","=""""","=""3000w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""873.767""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""1092.631""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""1179.496""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u2""",
