z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
92,122,U,,,,,,0,,,0+,0.52,,+95-21,ms,0.00052,0.00058,A,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,123,U,,,,,,0,,,,0.7,,+13-3,ms,0.0007,0.0008,A,0,,EC+B+,,,,,,,,,,,,,,,8587.9999,58.6205,7084.775,132.824,,,1859.5538,132.0573,7620.7821,0.4844,215026719.774,111.794,24889.312,104.136,N,2015,15-Sep-2015,M. Trudel and L.A.Bernstein,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,124,U,,,,,,0,,,0+,4.5,,+47-16,ms,0.0045,0.00315,A,100,,,,,,,,,,,,,,,,,8530.6272,26.2111,5242.63,37.37,9894.2007,107.8586,2027.0790,87.1046,7631.3072,0.1301,216024762.829,30.158,23066.429,28.093,N,2015,20-DEC-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,125,U,,,,,,0,,,,16,,+21-6,ms,0.016,0.0135,A,100,,EC+B+,,,,,,,,,,,,,,,8426,80,5916.252,81.959,8167,85,2142,84,7634,0,217024660,86,22971,81,Y,2000,1-DEC-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,126,U,,,,,,0,,,0+,0.65,,+8-7,ms,0.00065,0.000075,A,100,,,,,,,,,,,,,,,,,8774.8074,8.6266,3245.087,22.507,9147,82,2449.0643,18.5499,7640.7191,0.0629,218023504.877,14.722,21894.655,13.714,N,1992,10-Jun-2021,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,127,U,,,,,,0,,,,60,,7,us,0.00006,0.000007,A,100,,,,,,,,,,,,,-6140.9976,92.9309,,,9949.6039,11.7381,4712.73,70.97,6670.0197,19.1308,2642.5859,22.2798,7636.2867,0.0609,219025009.233,14.319,23295.953,13.338,N,1993,19-May-2021,Balraj Singh et al. and ,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,129,U,,,,,,0,,,(9/2+),0.66,,14,us,0.00000066,0.00000014,A,100,,,,,,,,,,,,,-5390,213,-14026.3444,78.4032,9889.2999,71.3499,4145.059,93.431,6565,124,3047.3723,73.6086,7634.6849,0.3264,221026323.297,77.440,24519.996,72.135,N,2015,18-DEC-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,130,U,,,,,,0,,,0+,4.7,,7,us,0.0000047,0.0000007,A,100,,,,,,,,,,,,,-7001.8072,64.4300,-13709,207,9481.171,50.9193,2208.473,101.015,8318.4802,88.9202,3391.0742,78.9251,7637.7651,0.2342,222026057.957,55.817,24272.834,51.994,N,1983,18-DEC-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,131,U,,,,,,0,,,,18,,+10-5,us,0.000018,0.0000075,A,100,,EC+B+,0.2,,,,,,,,,,-4613.3046,101.7520,-13300.6810,70.2500,9157.5821,17.3111,3707.664,95.956,6298.8738,78.6787,3308.0539,104.8112,7631.7611,0.2648,223027960.754,63.396,26045.278,59.054,N,1991,1-May-2001,E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,132,U,,,,,,0,,,0+,396,,17,us,0.000396,0.000017,A,100,,,,,,,,,,,,,-6289.5572,32.7036,-12987.2104,84.2557,8628.2368,6.7512,1880.339,17.043,8373.9058,60.9737,3883.8950,77.1400,7635.0742,0.0681,224027635.913,16.383,25742.690,15.261,N,1991,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,133,U,,,,,,0,,,,69,,15,ms,0.069,0.015,A,100,,,,,,,,,,,,,-4246.0969,92.1491,-12731.5646,30.5827,8007.1594,5.8969,3015.361,82.468,6442.0074,18.1413,3779.3211,12.3962,7629.7717,0.0442,225029385.05,10.664,27372.001,9.934,N,1989,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
92,134,U,,,,,,0,,,0+,268,,9,ms,0.268,0.009,A,100,,,,,,,,,,,,,-5488.0792,102.6485,-12360.6185,92.2786,7700.8428,4.2662,1295.197,15.757,8114.5216,14.7859,4316.8136,82.5961,7631.9166,0.0490,226029338.669,11.884,27328.797,11.071,N,1973,31-MAR-2014,B. SINGH and S. SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
