property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Base Orthorhombic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
space_group,Cmcm,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 63.,U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
lattice_constants,"285.37, 586.95, 495.48",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
thermal_conductivity,27,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
electrical_conductivity,3.6,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
electrical_resistivity,2.8e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
magnetic_susceptibility_mass,2.16e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
magnetic_susceptibility_molar,5.14e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
magnetic_susceptibility_volume,0.000411,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
superconducting_point,0.69,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
bulk_modulus,100,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
shear_modulus,111,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
young_modulus,208,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
poisson_ratio,0.23,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
mohs_hardness,6,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
vickers_hardness,1960,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
brinell_hardness,2400,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
speed_of_sound,3155,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
thermal_expansion,1.39e-05,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Uranium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",U-reference,elemento puro · condiciones de referencia,Base Orthorhombic,Cmcm,285.37,586.95,495.48,π/2,π/2,π/2
