obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""348.293""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""350.250""","=""""","=""300w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""398.802""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""504.607""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""560.326""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""565.432""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""578.599""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""587.967""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""601.288""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""605.777""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""607.558""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""608.173""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""612.218""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""619.030""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""620.172""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""621.762""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""631.959""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""634.313""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""656.792""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""672.254""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""675.318""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""679.709""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""680.450""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""680.769""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""681.832""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""686.734""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""690.904""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""691.482""","=""""","=""300w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""693.222""","=""""","=""1000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""696.555""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""697.401""","=""""","=""3000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""701.595""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""702.085""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""704.108""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""708.196""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""717.681""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""718.691""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""728.629""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""729.430""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""733.454""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""737.263""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""738.306""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""738.368""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""740.474""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""751.429""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""751.722""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""754.813""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""762.693""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""762.895""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""768.312""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""768.737""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
