z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
94,134,Pu,,,,,,0,,,0+,1.1,,+20-5,s,1.1,1.25,A,100,,,,,,,,,,,,,-6742,202,-14143,202,7940.2027,17.6755,2282.809,102.69,8733,102,3760.1805,80.4379,7590.4039,0.1024,228038763.325,25.069,36107.809,23.352,N,1994,31-Dec-2012,KHALIFEH ABUSALEEM,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
94,135,Pu,,,,,,0,,,(3/2+),90,,+71-27,s,90,49,A,100,,,,,,,,,,,,,-4785.4899,122.4147,-13526,209,7598.0069,59.8141,3593.546,117.954,6784.2032,64.9558,3719,117,7586.8834,0.2648,229040145.099,65.092,37394.924,60.633,N,1994,1-Jun-2008,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
94,136,Pu,,,,,,0,,,,102,,10,s,102,10,A,100,,,,,,,,,,,,,-5940,144,-13319.5620,107.3209,7178.4564,9.2888,1695.555,56.874,8534.0720,62.3108,4158.1788,102.1913,7591.0016,0.0628,230039648.313,15.514,36932.170,14.451,N,1990,1-May-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
94,137,Pu,,,,,,0,,,(3/2+),8.6,,5,m,516,30,EC+B+,90,,A,10,,,,,,,,,,-4101,301,-12635,145,6838.6275,20.3531,2684.891,55.708,6694.9109,26.3229,4217.0096,59.2437,7587.1224,0.0955,231041125.946,23.683,38308.577,22.061,N,1999,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
94,138,Pu,,,,,,0,,,0+,33.8,,7,m,2028,42,EC,90,,A,10,,,,,,,,,,-5059,300,-12120,300,6715.998,10.1758,1001.915,101.415,8018.9803,27.7335,4551.7428,53.8531,7588.9839,0.0728,232041182.133,18.126,38360.915,16.885,N,1973,1-Nov-2004,E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
94,139,Pu,,,,,,0,,,,20.9,,4,m,1254,24,EC+B+,99.88,0.05,A,0.12,0.05,,,,,,,,,-3233,126,-11439,305,6416.2999,53.8516,2103.305,74.393,6380.3971,56.7266,4597,114,7583.7968,0.2325,233042997.411,58.162,40051.836,54.178,N,1957,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
94,140,Pu,,,,,,0,,,0+,8.8,,1,h,31680,360,EC,94,,A,6,,,,,,,,,,-4112,160,-11006,114,6310.0537,5.0871,395.18,10.80,7773.1673,54.5810,4887.5156,51.4189,7584.6061,0.0291,234043317.489,7.298,40349.986,6.798,N,1949,1-Jun-2006,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
94,141,Pu,,,,,,0,,,(5/2+),25.3,,5,m,1518,30,EC+B+,99.9972,0.0007,A,0.0028,0.0007,,,,,,,,,-2442.2558,56.5932,-10351,161,5951.4789,20.3469,1139.302,20.568,6238.9580,21.5888,5061.4303,22.1235,7578.8799,0.0873,235045284.609,22.030,42182.346,20.521,N,1957,1-Feb-2014,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
94,142,Pu,,,,,,0,,,0+,2.858,,8,Y,90189694.43538393,252455.407796736,A,100,,SF,0.00000019,0.00000004,,,,,,,,,-3139,119,-9794.4120,52.7955,5867.1471,0.0814,-476.586,50.453,7352.1562,20.5391,5430.5071,1.7644,7577.9192,0.0077,236046056.661,1.942,42901.508,1.810,N,1949,1-Apr-2022,Shaofei Zhu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
94,143,Pu,,,,,,0,,,7/2-,45.64,,4,d,3943296,3456,EC,99.9958,0.0004,A,0.0042,0.0004,,,,,-0.68,0.05,,,-1478,59,-9020,119,5747.6353,2.2559,220.063,2.033,5881.1640,2.0756,5575.4024,50.4315,7570.7599,0.0072,237048407.888,1.821,45091.662,1.697,N,1949,15-Mar-2006,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
