property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Monoclinic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
space_group,P121/m1,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 11.,Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
lattice_constants,"618.3, 482.2, 1096.3",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
lattice_angles,"π/2, 1.776571, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
thermal_conductivity,6,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
electrical_conductivity,0.67,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
electrical_resistivity,1.5e-06,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
magnetic_susceptibility_mass,3.17e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
magnetic_susceptibility_molar,7.735e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
magnetic_susceptibility_volume,0.0006282,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Plutonium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pu-reference,elemento puro · condiciones de referencia,Simple Monoclinic,P121/m1,618.3,482.2,1096.3,π/2,1.776571,π/2
