obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""321.601""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""324.510""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""325.302""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""327.618""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""329.351""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""329.456""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""329.786""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""329.882""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""330.271""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""330.754""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""330.761""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""330.970""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""332.157""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""332.180""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""332.815""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""333.330""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""333.990""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""335.059""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
