z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
95,128,Am,,,,,,0,,,,5,,+12-4,ms,0.005,0.008,A,100,,,,,,,,,,,,,,,,,10838,314,,,,,-351,424,7547,1,223045840,322,42700,300,Y,2015,20-DEC-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
95,134,Am,,,,,,0,,,,0.9,,+21-7,s,0.9,1.4,A,91,,EC+B+,9,,,,,,,,,,,,,,8137.3999,54.0015,4785.49,122.41,8741,227,1216.3663,108.8776,7562.5697,0.4644,229045282.534,114.169,42180.414,106.348,N,2015,20-DEC-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
95,135,Am,,,,,,0,,,,31,,,s,31,,EC,100,,SF,,,,,,,,,,,,,,,7630,100,5939.83,143.72,7380,178,1812,155,7562,1,230046025,153,42872,143,Y,2003,1-May-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
95,137,Am,,,,,,0,,,,79,,2,s,79,2,EC,97,,A,3,,ECSF,0.069,0.01,,,,,,-2913,361,-11921,424,7170,316,5059.085,300.475,7062,424,2178,301,7564,1,232046613,322,43420,300,Y,1967,1-Nov-2004,E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
95,138,Am,,,,,,0,,,,3.2,,8,m,192,48,EC+B+,95.5,1.5,A,4.5,1.5,,,,,,,,,-4008,140,-11119,231,7059,53,3233.164,126.219,8206,321,2365,115,7567,0,233046468,123,43285,114,Y,2000,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
95,139,Am,,,,,,0,,,,2.32,,8,m,139.2,4.8,EC,100,,A,,,,,,,,,,,-2261,161,-10903,179,6800,150,4112.014,160.144,6895,196,2879,169,7564,1,234047731,172,44462,160,Y,1967,1-Jun-2006,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
95,140,Am,,,,,,0,,,5/2-,10.3,,6,m,618,36,EC,99.6,0.05,A,0.4,0.05,,,,,,,,,-3389,115,-10169.1269,55.4591,6575.9999,13.0000,2442.256,56.629,7908,168,3014.3552,53.2013,7565.1582,0.2246,235047906.478,56.661,44624.602,52.780,N,1996,1-Feb-2014,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
95,141,Am,,,,,,0,,,5-,3.6,,2,m,216,12,EC,100,,A,0.004,,,,,,,,,,-1812,120,-10044,157,6256.1999,64.0312,3139.492,119.014,6655,130,3431,121,7561,1,236049427,127,46041,119,Y,1998,1-Apr-2022,Shaofei Zhu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
95,142,Am,,,,,,0,,,5/2(-),73.6,,8,m,4416,48,EC+B+,99.975,0.003,A,0.025,0.003,,,,,,,,,-2677,95,-9354,62,6196,30,1478.338,59.024,7542,133,3621,59,7561,0,237049995,64,46570,59,Y,1970,15-Mar-2006,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
95,143,Am,,,,,,0,,,1+,98,,2,m,5880,120,EC+B+,100,,A,0.0001,0.00004,,,,,,,,,-1023.7818,60.1587,-8897.0480,94.8961,6041.6999,58.3095,2258.273,58.922,6220,84,3959.2119,58.9154,7555.5853,0.2475,238051982.531,63.243,48421.421,58.911,N,1950,1-Jun-2014,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
