z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
96,137,Cm,,,,,,0,,,,23,,+13-6,s,23,9.5,EC+B+,80,10,A,20,10,,,,,,,,,-5478,247,,,7473.4999,53.8516,4008.34,139.90,7111,217,3415,311,7546.002,0.3480,233050771.485,87.059,47293.340,81.095,N,2001,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
96,138,Cm,,,,,,0,,,0+,51,,12,s,51,12,A,40,,SF,40,,EC+B+,20,,,,,,,-6673,154,-14120,233,7365.3254,9.1001,2260.411,160.909,8642.2466,82.8580,3851,115,7550.6868,0.0730,234050158.568,18.333,46722.411,17.078,N,2001,1-Jun-2006,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
96,139,Cm,,,,,,0,,,,,,,,,,A,1.1,,,,,,,,,,,,,-4757,413,-13453,184,7280,100,3388.398,114.847,6780,104,3737,190,7547,0,235051545,110,48013,102,Y,1981,1-Feb-2014,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
96,140,Cm,,,,,,0,,,0+,6.8,,8,m,408,48,EC,82,2,A,18,2,,,,,,,,,-5689,361,-12989,401,7066.9897,5.0864,1811.82,120.3,8232,104,4060.7531,55.6330,7550.309,0.0747,236051372.112,18.931,47852.820,17.635,N,2010,1-Apr-2022,Shaofei Zhu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
96,141,Cm,,,,,,0,,,,,,,,,,A,1,,,,,,,,,,,,,-3963,242,-12366,368,6770.3999,50.9902,2677.151,94.954,6676.9869,76.4446,4082,140,7546.6241,0.3139,237052868.988,79.870,49247.151,74.399,N,2002,15-Mar-2006,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
96,142,Cm,,,,,,0,,,0+,2.2,,4,h,7920,1440,EC,96.16,0.18,A,3.84,0.18,SF,0.048,0.002,,,,,,-4771,256,-11836,231,6670.301,10.1712,1023.782,60.168,7873.2662,75.3826,4413,61,7547.9966,0.0514,238053081.606,13.133,49445.203,12.234,N,1994,1-Jun-2014,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
96,143,Cm,,,,,,0,,,(7/2-),2.7,,8,h,9720,2880,EC,100,,A,0.001,,,,,,,,,,-3103,256,-11141,297,6539.6999,148.6607,1756.602,150.083,6369.5591,150.5640,4563.4303,161.2124,7543.0659,0.6279,239054908.519,161.107,51146.962,150.070,N,1952,30-Jun-2013,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
96,144,Cm,,,,,,0,,,0+,27,,1,d,2332800,86400,A,99.5,,EC,0.5,,SF,0.0000039,0.0000008,,,,,,-3940,150,-10597,207,6397.7981,0.5997,214.112,13.963,7494.0580,150.0740,4955.1089,2.3385,7542.8617,0.0079,240055528.233,2.045,51724.222,1.905,N,1949,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
96,145,Cm,,,,,,0,,,1/2+,32.8,,2,d,2833920,17280,EC,99,0.1,A,1,0.1,,,,,,,,,-2279,165,-10034,150,6185.1919,0.5717,767.435,1.955,6093.7702,2.0909,5097.3105,13.8366,7536.8488,0.0067,241057651.218,1.725,53701.770,1.607,N,1952,30-Sep-2015,C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
96,146,Cm,5.8285,0.0192,,,,0,,,0+,162.88,,8,d,14072832,6912,A,100,,SF,0.0000062,0.0000003,34SI,0.00000000000001,,,,,,,-2948,135,-9248,165,6215.6349,0.0813,-664.315,1.597,6969.3890,1.2338,5419.6075,0.4020,7534.504,0.0047,242058834.187,1.224,54803.699,1.141,N,1949,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
