z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
97,136,Bk,,,,,,0,,,,21,,+48-17,s,21,32.5,EC+B+,,,A,,,,,,,,,,,,,,,8166,207,5477.66,246.70,,,850,308,7519,1,233056652,250,52771,233,Y,2015,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
97,137,Bk,,,,,,0,,,,1.4E2,,+14-5,s,140,95,A,80,,EC,20,,,,,,,,,,,,,,8098.5999,53.9638,6672.589,153.95,7447,278,1187,173,7519,1,234057322,164,53395,153,Y,2003,1-Jun-2006,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
97,139,Bk,,,,,,0,,,(4+ 6-),22,,+13-6,s,22,9.5,EC+B+,83,,A,17,,SF+EC+B+,4,2,,,,,,,,,,7697,200,5689.18,361.43,7300,539,1761,375,7523,2,236057479,387,53542,361,Y,2017,1-Apr-2022,Shaofei Zhu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
97,141,Bk,,,,,,0,,,,144,,5,s,144,5,EC+B+,100,,SF+EC+B+,0.048,0.02,,,,,,,,,-3061,393,-11793,274,7330,200,4770.797,256.292,7065,344,2320,267,7525,1,238058204,275,54216,256,Y,1994,1-Jun-2014,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
97,142,Bk,,,,,,0,,,(3/2- 7/2+),,,,,,,EC,99,,SF,1,,A,1,,,,,,,-3952,239,-11099,363,7200,200,3103.038,255.676,8038,329,2485,207,7527,1,239058239,222,54250,207,Y,1989,30-Jun-2013,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
97,143,Bk,,,,,,0,,,,4.8,,8,m,288,48,ECSF,0.002,0.0013,EC+B+,,,,,,,,,,,-2324,151,-10609,192,7199,191,3939.778,150.012,6657,256,2772,212,7523,1,240059758,161,55664,150,Y,1980,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
97,144,Bk,,,,,,0,,,(7/2+),4.6,,4,m,276,24,A,,,EC+B+,,,,,,,,,,,-3346,235,-10079,166,6986,176,2279.23,165.00,7755,223,3033,165,7524,1,241060098,178,55981,165,Y,2003,30-Sep-2015,C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
97,145,Bk,,,,,,0,,,,7.0,,13,m,420,78,EC+B+,99.5,0.5,A,0.5,0.5,,,,,,,,,-1635,135,-9646,215,6906,147,2948.301,135.005,6300,213,3239,135,7519,1,242061999,144,57752,135,Y,1972,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
97,146,Bk,,,,,,0,,,(3/2-),4.6,,2,h,16560,720,EC+B+,99.85,,A,0.15,,,,,,,,,,-2300,181,-8768.6705,13.6221,6874.3533,4.0671,1507.693,4.765,7134,135,3403.0409,4.3986,7517.5021,0.0186,243063005.905,4.856,58689.629,4.524,N,1950,30-Sep-2013,C.D. Nesaraja and  E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
97,147,Bk,,,,,,0,,,(4-),5.02,,3,h,18072,108,EC,99.994,0.003,A,0.006,0.003,,,,,,,,,-764.2709,14.5724,-8347,181,6778.7999,4.0000,2261.99,14.44,6047.1220,15.0148,3757.0814,14.3933,7511.4759,0.0590,244065178.969,15.457,60713.825,14.399,N,1972,31-Aug-2017,C.D. Nesaraja,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
