z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
98,138,Cf,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2022,Shaofei Zhu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,139,Cf,,,,,,0,,,,2.1,,3,s,2.1,0.3,A,70,,SF,10,,,,,,,,,,,,,,8219.9999,53.8516,,,,,2892,373,7503.3507,0.4107,237062199.272,104.506,57938.255,97.347,N,1995,15-Mar-2006,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,140,Cf,,,,,,0,,,0+,21.1,,13,ms,0.0211,0.0013,SF,95,,A,5,,,,,,,,,,,,,,8130,299,3062.0,392.8,8732,314,3221,377,7509,1,238061490,320,57278,298,Y,1995,1-Jun-2014,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,141,Cf,,,,,,0,,,,39,,+37-12,s,39,24.5,EC,,,A,,,,,,,,,,,-5429,323,,,7763.4507,62.5174,3952.0,239.2,7147,321,3304,283,7507,1,239062482,129,58202,120,Y,1981,30-Jun-2013,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,142,Cf,,,,,,0,,,0+,0.96,,15,m,57.6,9,A,98,,SF,2,,EC+B+,,,,,,,,-6237,366,-13713,300,7710.9834,3.7770,2324.719,151.08,8284,121,3550,208,7510.24,0.0751,240062253.447,19.360,57988.719,18.034,N,1970,31-Jul-2008,BALRAJ SINGH and  E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,143,Cf,,,,,,0,,,(7/2-),3.78,,70,m,226.8,42,EC+B+,75,,A,25,,,,,,,,,,-4567,285,-12970,402,7655,150,3346.0,234.7,6733,168,3626,225,7507,1,241063690,180,59327,167,Y,1970,30-Sep-2015,C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,144,Cf,,,,,,0,,,0+,3.5,,2,m,210,12,A,61,3,EC+B+,39,3,SF,0.014,,,,,,,-5414,257,-12578,231,7516.8626,4.0673,1634.982,135.614,8011,168,3883,166,7509.0991,0.0533,242063754.544,13.840,59386.982,12.892,N,1967,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,145,Cf,,,,,,0,,,(1/2+),10.7,,5,m,642,30,EC+B+,86,,A,14,,,,,,,,,,-3757,275,-11883,314,7418,100,2300.371,181.057,6468,181,4051,225,7505,1,243065475,194,60990,181,Y,1967,30-Sep-2013,C.D. Nesaraja and  E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,146,Cf,,,,,,0,,,0+,19.4,,6,m,1164,36,A,100,,,,,,,,,,,,,-4547,181,-11340,207,7328.9581,1.8113,764.271,14.635,7583,181,4500.5042,5.0247,7505.1373,0.0107,244065999.447,2.809,61478.096,2.617,N,1956,31-Aug-2017,C.D. Nesaraja,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,147,Cf,,,,,,0,,,1/2+,45.0,,15,m,2700,90,EC,64.7,2.5,A,35.3,2.5,,,,,,,,,-2930,165,-10712,181,7258.4655,1.8422,1571.375,3.018,6164.2629,3.3088,4617.6450,14.5190,7499.6644,0.0099,245068046.755,2.606,63385.151,2.428,N,1956,1-Jun-2010,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,148,Cf,,,,,,0,,,0+,35.7,,5,h,128520,1800,A,100,,EC,0.004,,SF,0.00024,0.00004,,,,,,-3728.5741,89.9373,-10296,165,6861.6127,0.9987,123.316,60.038,7366.2418,2.4223,5012.5193,1.7695,7499.122,0.0062,246068803.685,1.625,64090.228,1.514,N,1951,1-Jan-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,149,Cf,,,,,,0,,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,A,0.035,0.005,,,,,,,,,-2469.0006,24.1495,-9780.7275,91.0587,6502.5408,14.4047,619.871,15.238,6052.1534,14.4066,5146.4905,61.7056,7493.2638,0.0580,247070971.348,15.380,66109.392,14.327,N,1954,31-Mar-2014,C. D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,150,Cf,,,,,,0,,,0+,333.5,,28,d,28814400,241920,A,99.9971,0.0003,SF,0.0029,0.0003,,,,,,,,,-3061,53,-9411.7601,20.1039,6361.1999,5.0000,-893.102,50.319,6942.7595,15.2145,5540.5413,7.1759,7491.044,0.0207,248072182.905,5.497,67237.951,5.121,N,1954,1-Sep-2014,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,151,Cf,,,,,,0,,,9/2-,351,,2,Y,11076481017.081793,63113851.949184,A,100,,SF,0.0000005,0.00000004,,,,,,,,,-1452,30,-8648,52,6293.2928,0.4895,-123.6,1.7,5586.5363,5.0458,5697.2908,50.0676,7483.3954,0.0048,249074850.428,1.269,69722.733,1.182,N,1954,31-Dec-2010,KHALIFEH ABUSALEEM,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,152,Cf,,,,,,0,,,0+,13.08,,9,Y,412764591.7476634,2840123.33771328,A,99.923,0.003,SF,0.077,0.003,,,,,,,,,-2055,100,-8076,30,6128.5082,0.1925,-1781.67,3.28,6623.7149,1.3155,5964.9679,1.3750,7479.9567,0.0062,250076404.494,1.650,71170.336,1.538,N,1954,1-Aug-2001,Y. Akovali,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,153,Cf,,,,,,0,,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,SF,,,,,,,,,,,-376.566,6.4677,-7162,100,6176.9599,0.8944,-1093.0,11.4,5106.6728,3.8848,6105.9954,4.5961,7470.5014,0.0155,251079587.171,4.187,74134.981,3.901,N,1954,1-Jan-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,154,Cf,,,,,,0,,,0+,2.647,,3,Y,83531183.05474502,94670.777923776,A,96.898,0.003,SF,3.102,0.003,,,,,,,,,-1260,50.0000,-6548.2548,5.7525,6216.9469,0.0406,-2500.39,200.01,6171.6888,4.0697,6482.3418,10.7964,7465.3474,0.0094,252081626.507,2.531,76034.610,2.358,N,1954,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,155,Cf,,,,,,0,,,(7/2+),17.81,,8,d,1538784,6912,B-,99.69,0.04,A,0.31,0.04,,,,,,,,,291.0753,4.3850,-6064.3669,50.1255,6125.9499,3.5355,-1627.438,359.025,4804.3669,3.5446,6522,200,7454.8297,0.0168,253085133.723,4.570,79301.562,4.257,N,1954,1-Mar-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,156,Cf,,,,,,0,,,0+,60.5,,2,d,5227200,17280,SF,99.69,0.02,A,0.31,0.02,,,,,,,,,-652.7561,11.8014,-5740.4090,11.5097,5926.8918,5.0801,-3051.605,298.22,6031.4844,11.7631,6876,359,7449.2259,0.0451,254087323.575,12.304,81341.395,11.462,N,1955,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,157,Cf,,,,,,0,,,(7/2+),85,,18,m,5100,1080,B-,100,,,,,,,,,,,,,720,200,-5256,200,5736,201,,,4603,201,6873,359,7438,1,255091046,215,84809,200,Y,1981,1-Nov-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
98,158,Cf,,,,,,0,,,0+,12.3,,12,m,738,72,SF,100,,A,0.000001,,,,,,,,,,-144,330,-5120,315,5560,100,,,5840,373,,,7432,1,256093442,338,87041,314,Y,1980,22-Mar-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
