obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""339.319""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""353.250""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""354.199""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""359.980""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""360.635""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""361.852""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""366.374""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""374.041""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""378.669""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""410.028""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""424.357""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""433.025""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""433.644""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""517.540""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""518.052""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""522.069""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""541.038""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""572.764""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""662.466""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""663.309""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""667.974""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""689.649""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""707.647""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""730.991""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""814.353""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
"=""824.404""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u11""",
