z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
99,141,Es,,,,,,0,,,(1+),6,,2,s,6,2,A,70,10,EC+B+,30,10,ECSF,4.8,1.8,,,,,,,,,,8258.7789,62.6509,6236.281,366.444,7476,473,1265,385,7481,2,240068949,393,64225,366,Y,2017,22-DEC-2016,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
99,142,Es,,,,,,0,,,,8,,+6-5,s,8,5.5,A,,,EC+B+,,,,,,,,,,,-5327,379,,,8258.6223,16.9224,4566.0,285.0,8403,433,1384,232,7485,1,241068592,248,63893,231,Y,1996,30-Sep-2015,C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
99,143,Es,,,,,,0,,,,17.8,,16,s,17.8,1.6,A,57,3,EC+B+,43,3,,,,,,,,,-3598,476,-12490,395,8160.1152,20.3367,5414.018,257.323,7163,345,1814,307,7483,1,242069567,276,64801,257,Y,1994,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
99,144,Es,,,,,X,0,,,(7/2+),21,,2,s,21,2,A,61,6,EC+B+,39,6,SF,1,,,,,,,-4569,245,-11724,451,8072.1077,10.1677,3757.0,274.9,8126,330,1929,207,7486,1,243069508,222,64747,207,Y,1973,30-Sep-2013,C.D. Nesaraja and  E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
99,145,Es,,,,,,0,,,,37,,4,s,37,4,EC,96,,A,4,,,,,,,,,,-2938,271,-11362,223,7936,102,4547.904,181.019,6792,275,2253,256,7483,1,244070881,195,66026,181,Y,1973,31-Aug-2017,C.D. Nesaraja,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
99,146,Es,,,,,,0,,,(3/2-),1.1,,1,m,66,6,EC,60,10,A,40,10,,,,,,,,,-3877,256,-10720,260,7909.3581,3.0499,2929.849,165.018,7782,245,2452,165,7485,1,245071192,178,66315,165,Y,1967,1-Jun-2010,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
99,147,Es,,,,,X,0,,0,,7.5,,5,m,450,30,EC+B+,90.1,1.8,A,9.9,1.8,,,,,,,,,-2372.3848,90.9577,-10444,215,7642,100,3728.574,89.938,6567,188,2855.3207,89.9574,7480.7849,0.3655,246072806.474,96.538,67818.802,89.925,N,1954,1-Jan-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
99,148,Es,,,,,,0,,,(3/2-),,,,,,,,,,,,,,,,,,,,,-3094,182,-9684.1117,23.7660,7463.8478,19.9602,2469.001,24.15,7311.7269,92.0020,2800.8057,19.4996,7480.1005,0.0787,247073621.929,20.870,68578.393,19.441,N,1967,31-Mar-2014,C. D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
99,149,Es,,,,,,0,,,(2- 0+),24,,3,m,1440,180,EC,99.7,0.3,A,0.25,,,,,,,,,,-1599,53,-9445,188,7160,50,3061.049,52.252,6351,56,3099,54,7476,0,248075469,56,70299,52,Y,1956,1-Sep-2014,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
99,150,Es,,,,,,0,,,7/2+,102.2,,6,m,6132,36,EC+B+,99.43,0.08,A,0.57,0.08,,,,,,,,,-2344,31,-8794,31,6936,30,1452.267,30.023,7196,60,3352,31,7474,0,249076409,32,71175,30,Y,1956,31-Dec-2010,KHALIFEH ABUSALEEM,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
