obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""313.616""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
"=""342.410""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
"=""342.946""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
"=""348.559""","=""""","=""3000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
"=""349.911""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
"=""351.534""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
"=""352.450""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
"=""355.636""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
"=""516.318""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
"=""520.585""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
"=""561.707""","=""""","=""3000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2225""",
