z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
100,141,Fm,,,,,,0,,,,0.73,,6,ms,0.00073,0.00006,SF,78,,A,14,,EC,12,,,,,,,,,,,8857,315,5327.0,378.6,,,2294,473,7459,1,241074311,322,69220,300,Y,2008,30-Sep-2015,C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,142,Fm,,,,,,0,,,0+,0.8,,2,ms,0.0008,0.0002,SF,100,,,,,,,,,,,,,,,,,8697,499,3599.0,476.2,8892,500,2783,462,7465,2,242073430,430,68400,401,Y,1975,31-Dec-2021,M.J. Martin and  C.D. Nesaraja,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,143,Fm,,,,,,0,,,(7/2-),231,,9,ms,0.231,0.009,A,91,3,EC+B+,10,,SF,9,1,,,,,,,,,,8689.1999,50.6519,4569.0,244.4,7155,421,2774,288,7464,1,243074414,140,69316,130,Y,1981,30-Sep-2013,C.D. Nesaraja and  E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,144,Fm,,,,,,0,,,0+,3.12,,8,ms,0.00312,0.00008,SF,97,,EC,2,,A,1,,,,,,,-6634,425,,,8550,200,2938.0,270.4,8424,239,3072,288,7468,1,244074036,216,68964,201,Y,1967,31-Aug-2017,C.D. Nesaraja,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,145,Fm,,,,,,0,,,,4.2,,13,s,4.2,1.3,A,100,,,,,,,,,,,,,-5133,325,-13477,422,8440,100,3877.0,255.4,6843,280,3123,266,7465,1,245075354,210,70192,195,Y,1967,1-Jun-2010,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,146,Fm,,,,,,0,,,0+,1.54,,4,s,1.54,0.04,A,93.2,0.6,SF,6.8,0.6,EC,1.3,,,,,,,-5924,260,-13205,260,8379.289,4.5462,2372.385,90.958,8072,196,3413,166,7467.9608,0.0556,246075353.334,14.675,70191.187,13.670,N,1966,1-Jan-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,147,Fm,,,,,,0,,,(7/2+),31,,1,s,31,1,A,64,,EC+B+,36,,,,,,,,,,-4263,275,-12514,317,8257.6677,9.7405,3093.607,182.041,6590,181,3435,202,7464,1,247076944,194,71672,181,Y,1967,31-Mar-2014,C. D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,148,Fm,,,,,,0,,,0+,34.5,,12,s,34.5,1.2,A,95,5,EC,5,5,SF,0.1,0.05,,,,,,-5050,184,-12109,208,7994.7808,8.2669,1598.793,52.69,7846,181,3969.5712,21.2167,7465.9451,0.0343,248077185.451,9.122,71897.793,8.497,N,1958,1-Sep-2014,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,149,Fm,,,,,,0,,,(7/2+),2.6,,7,m,156,42,EC+B+,67,9,A,33,9,,,,,,,,,-3661.8091,164.5418,-11500,184,7709.0754,5.9290,2344.143,30.636,6449.9683,10.4729,4069,53,7461.8649,0.0249,249078926.042,6.668,73519.143,6.212,N,1960,31-Dec-2010,KHALIFEH ABUSALEEM,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,150,Fm,,,,,,0,,,0+,30,,3,m,1800,180,A,90,,EC,10,,SF,0.0069,0.001,,,,,,-4326.9476,91.2615,-11180.0771,164.6136,7557.0492,7.8003,847.193,100.311,7518.2680,9.9670,4392,31,7462.0905,0.0316,250079519.765,8.468,74072.193,7.888,N,1954,1-Aug-2001,Y. Akovali,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,151,Fm,,,,,,0,,,(9/2-),5.30,,8,h,19080,288,EC+B+,98.2,0.13,A,1.8,0.13,,,,,,,,,-3007.9406,23.7108,-10511.6502,92.0364,7424.4999,1.0000,1447.261,15.239,6184.7026,16.3242,4555,101,7457.0013,0.0569,251081545.13,15.342,75958.808,14.292,N,1957,1-Jan-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,152,Fm,,,,,,0,,,0+,25.39,,4,h,91404,144,A,99.9977,0.0002,SF,0.0023,0.0002,,,,,,,,,-3650.5075,91.4356,-10221.4563,19.6265,7153.7437,1.0162,-477.999,50.328,7213.5157,15.2156,4983.9076,7.3184,7456.0351,0.0207,252082466.019,5.604,76816.611,5.221,N,1956,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
100,153,Fm,,,,,,0,,,1/2+,3.00,,12,d,259200,10368,EC,88,1,A,12,1,,,,,,,,,-1827,31,-9192.8876,91.2996,7197.8999,1.0000,335.063,1.99,5542.3801,5.2434,5238.0329,50.0750,7448.4712,0.0061,253085180.945,1.662,79345.549,1.549,N,1957,1-Mar-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
