obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""159.360""","=""159.360+""","=""100r""","=""""","=""""","=""""","=""""",,"=""0.00000""","=""7.78014""","=""4s2.4p3""","=""4S*""","=""3/2""","=""4s2.4p2.(3P).4d""","=""4P""","=""5/2""",4,6,,"=""""","=""L4831""",
"=""175.860""","=""175.859+""","=""100""","=""""","=""""","=""""","=""""",,"=""0.00000""","=""7.05019""","=""4s2.4p3""","=""4S*""","=""3/2""","=""4s.4p4""","=""4P""","=""3/2""",4,4,,"=""""","=""L4831""",
"=""180.615""","=""180.615+""","=""170""","=""""","=""""","=""""","=""""",,"=""0.00000""","=""6.86456""","=""4s2.4p3""","=""4S*""","=""3/2""","=""4s.4p4""","=""4P""","=""5/2""",4,6,,"=""""","=""L4831""",
"=""189.042""","=""189.043+""","=""1000r""","=""2.66e+08""","=""2.14e-01""","=""5.32e+00""","=""-0.07""",C+,"=""0.00000""","=""6.55850""","=""4s2.4p3""","=""4S*""","=""3/2""","=""4s2.4p2.(3P).5s""","=""4P""","=""5/2""",4,6,,"=""T7227""","=""L4831""",
"=""193.759""","=""193.760+""","=""800r""","=""2.19e+08""","=""1.23e-01""","=""3.15e+00""","=""-0.31""",C+,"=""0.00000""","=""6.39885""","=""4s2.4p3""","=""4S*""","=""3/2""","=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""",4,4,,"=""T7227""","=""L4831""",
"=""197.262""","=""197.263+""","=""585r""","=""2.02e+08""","=""5.89e-02""","=""1.53e+00""","=""-0.63""",C+,"=""0.00000""","=""6.28523""","=""4s2.4p3""","=""4S*""","=""3/2""","=""4s2.4p2.(3P).5s""","=""4P""","=""1/2""",4,2,,"=""T7227""","=""L4831""",
"=""199.035""","=""199.035+""","=""170r""","=""""","=""""","=""""","=""""",,"=""1.31330""","=""7.54255""","=""4s2.4p3""","=""2D*""","=""3/2""","=""4s2.4p2.(1D).5s""","=""2D""","=""3/2""",4,4,,"=""""","=""L4831""",
"=""199.113""","=""199.114+""","=""100r""","=""""","=""""","=""""","=""""",,"=""1.31330""","=""7.54010""","=""4s2.4p3""","=""2D*""","=""3/2""","=""4s2.4p2.(1D).5s""","=""2D""","=""5/2""",4,6,,"=""""","=""L4831""",
"=""199.543""","=""199.543+""","=""100r""","=""""","=""""","=""""","=""""",,"=""2.25479""","=""8.46820""","=""4s2.4p3""","=""2P*""","=""1/2""","=""4s.4p4""","=""2D""","=""3/2""",2,4,,"=""""","=""L4831""",
"=""200.399""","=""200.399+""","=""230r""","=""""","=""""","=""""","=""""",,"=""1.35324""","=""7.54010""","=""4s2.4p3""","=""2D*""","=""5/2""","=""4s2.4p2.(1D).5s""","=""2D""","=""5/2""",6,6,,"=""""","=""L4831""",
"=""200.984""","=""200.984+""","=""100r""","=""""","=""""","=""""","=""""",,"=""2.31200""","=""8.48085""","=""4s2.4p3""","=""2P*""","=""3/2""","=""4s.4p4""","=""2D""","=""5/2""",4,6,,"=""""","=""L4831""",
"=""201.397""","=""201.397+""","=""100""","=""""","=""""","=""""","=""""",,"=""2.31200""","=""8.46820""","=""4s2.4p3""","=""2P*""","=""3/2""","=""4s.4p4""","=""2D""","=""3/2""",4,4,,"=""""","=""L4831""",
"=""211.366""","=""211.366+""","=""100""","=""""","=""""","=""""","=""""",,"=""2.25479""","=""8.12064""","=""4s2.4p3""","=""2P*""","=""1/2""","=""4s.4p4""","=""2P""","=""1/2""",2,2,,"=""""","=""L4831""",
"=""214.476""","=""214.475+""","=""100""","=""""","=""""","=""""","=""""",,"=""2.25479""","=""8.03560""","=""4s2.4p3""","=""2P*""","=""1/2""","=""4s.4p4""","=""2P""","=""3/2""",2,4,,"=""""","=""L4831""",
"=""216.620""","=""216.619+""","=""135""","=""""","=""""","=""""","=""""",,"=""2.31200""","=""8.03560""","=""4s2.4p3""","=""2P*""","=""3/2""","=""4s.4p4""","=""2P""","=""3/2""",4,4,,"=""""","=""L4831""",
"=""228.883""","=""228.882+""","=""350r""","=""2.8e+08""","=""1.5e-01""","=""6.6e+00""","=""-0.06""",D,"=""1.35324""","=""6.77019""","=""4s2.4p3""","=""2D*""","=""5/2""","=""4s2.4p2.(3P).5s""","=""2P""","=""3/2""",6,4,,"=""T2177""","=""L4831""",
"=""234.475""","=""234.474+""","=""35""","=""3.5e+07""","=""5.8e-02""","=""8.9e-01""","=""-0.94""",D,"=""2.25479""","=""7.54255""","=""4s2.4p3""","=""2P*""","=""1/2""","=""4s2.4p2.(1D).5s""","=""2D""","=""3/2""",2,4,,"=""T2177""","=""L4831""",
"=""235.056""","=""235.056+""","=""350r""","=""3.1e+08""","=""1.3e-01""","=""4.0e+00""","=""-0.29""",D,"=""1.31330""","=""6.58797""","=""4s2.4p3""","=""2D*""","=""3/2""","=""4s2.4p2.(3P).5s""","=""2P""","=""1/2""",4,2,,"=""T2177""","=""L4831""",
"=""237.039""","=""237.038+""","=""6r""","=""6.0e+07""","=""5.1e-02""","=""1.6e+00""","=""-0.69""",D,"=""2.31200""","=""7.54255""","=""4s2.4p3""","=""2P*""","=""3/2""","=""4s2.4p2.(1D).5s""","=""2D""","=""3/2""",4,4,,"=""T2177""","=""L4831""",
