obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""140.54""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""140.64""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""140.66""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""143.53""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""143.58""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""144.48""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""144.68""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""144.70""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""144.92""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""145.63""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""150.09""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""153.04""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""153.13""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""153.18""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""154.71""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""156.03""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""157.53""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""157.76""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""157.79""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""157.95""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""158.00""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""158.75""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""159.32""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""160.65""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""161.07""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""161.13""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
