obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""110.1498""","=""0.00035""","=""110.1498+""","=""250""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""11.71287""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(1D<2>).6s""","=""2[2]""","=""3/2""",2,4,,"=""""","=""L351""",
"=""113.4588""","=""0.0007""","=""113.46221+""","=""300*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""10.927356""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p4.(3P<2>).7s""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L351""",
"=""113.4588""","=""0.0007""","=""113.45753+""","=""300*""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""11.384719""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<2>).7d""","=""2[0]""","=""1/2""",2,2,,"=""""","=""L351""",
"=""113.6294""","=""0.00035""","=""113.62900+""","=""250""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""11.368228""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<2>).7d""","=""2[1]""","=""1/2""",2,2,,"=""""","=""L351""",
"=""117.7233""","=""0.00035""","=""117.72301+""","=""250""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""10.531858""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p4.(3P<0>).4d""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L351""",
"=""117.8895""","=""0.00035""","=""117.88894+""","=""400""","=""6.e+06""","=""7.e-04""","=""1.0e-02""","=""-2.6""",E,"=""0.000000""","=""10.517034""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s.4p6""","=""2S""","=""1/2""",4,2,,"=""T3187""","=""L351""",
"=""118.9279""","=""0.00035""","=""118.92767+""","=""1000""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""10.882088""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<2>).5d""","=""2[2]""","=""3/2""",2,4,,"=""""","=""L351""",
"=""118.9378""","=""0.00035""","=""118.93786+""","=""250""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""10.424284""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p4.(3P<1>).4d""","=""2[2]""","=""3/2""",4,4,,"=""""","=""L351""",
"=""118.9498""","=""0.00035""","=""118.95001+""","=""1000""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""10.880130""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<2>).5d""","=""2[0]""","=""1/2""",2,2,,"=""""","=""L351""",
"=""119.8371""","=""0.00035""","=""119.83739+""","=""500""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""10.802948""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<2>).5d""","=""2[1]""","=""3/2""",2,4,,"=""""","=""L351""",
"=""120.9756""","=""0.00035""","=""120.97520+""","=""800""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""10.248728""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""3/2""",4,4,,"=""""","=""L351""",
"=""121.0734""","=""0.00035""","=""121.07392+""","=""1000""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""10.697283""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<0>).6s""","=""2[0]""","=""1/2""",2,2,,"=""""","=""L351""",
"=""121.6006""","=""0.00035""","=""121.60099+""","=""750""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""10.195986""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L351""",
"=""122.1128""","=""0.00035""","=""122.11251+""","=""1000""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""10.610187""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<1>).6s""","=""2[1]""","=""1/2""",2,2,,"=""""","=""L351""",
"=""122.1870""","=""0.00035""","=""122.18662+""","=""900""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""10.147117""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p4.(3P<2>).4d""","=""2[2]""","=""3/2""",4,4,,"=""""","=""L351""",
"=""122.3240""","=""0.00035""","=""122.32402+""","=""1000""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""10.592631""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<1>).6s""","=""2[1]""","=""3/2""",2,4,,"=""""","=""L351""",
"=""122.4408""","=""0.00035""","=""122.44056+""","=""1200""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""10.126072""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p4.(3P<2>).4d""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L351""",
"=""122.6899""","=""0.00035""","=""122.68983+""","=""1200""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""10.562411""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<0>).4d""","=""2[2]""","=""3/2""",2,4,,"=""""","=""L351""",
"=""122.8049""","=""0.00035""","=""122.80491+""","=""750""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""10.096030""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p4.(3P<2>).4d""","=""2[0]""","=""1/2""",4,2,,"=""""","=""L351""",
"=""123.2431""","=""0.00035""","=""123.24323+""","=""7500""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""10.517034""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s.4p6""","=""2S""","=""1/2""",2,2,,"=""""","=""L351""",
"=""124.3897""","=""0.00035""","=""124.39005+""","=""1200""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""10.424284""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<1>).4d""","=""2[2]""","=""3/2""",2,4,,"=""""","=""L351""",
"=""124.9589""","=""0.00035""","=""124.95876+""","=""800""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""9.922009""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p4.(3P<2>).4d""","=""2[1]""","=""1/2""",4,2,,"=""""","=""L351""",
"=""125.1664""","=""0.00035""","=""125.16700+""","=""1500""","=""""","=""""","=""""","=""""",,"=""0.456912""","=""10.362413""","=""4s2.4p5""","=""2P*""","=""1/2""","=""4s2.4p4.(3P<1>).4d""","=""2[1]""","=""3/2""",2,4,,"=""""","=""L351""",
"=""125.5799""","=""0.00035""","=""125.57975+""","=""1000""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""9.872945""","=""4s2.4p5""","=""2P*""","=""3/2""","=""4s2.4p4.(3P<2>).4d""","=""2[1]""","=""3/2""",4,4,,"=""""","=""L351""",
