obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""232.665""","=""""","=""232.6592+""","=""130*""","=""""","=""""","=""""","=""""",,"=""1.5307436""","=""6.859748?""","=""4d4.5s2""","=""a 5D""","=""4""","=""""","=""98*""","=""3""",9,7,,"=""""","=""L3475""",
"=""232.665""","=""""","=""232.66239+""","=""130*""","=""""","=""""","=""""","=""""",,"=""1.4702664""","=""6.7991981""","=""4d4.5s2""","=""a 5D""","=""3""","=""""","=""94*""","=""3""",7,7,,"=""""","=""L3475""",
"=""233.118""","=""""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""234.119""","=""""","=""234.11240+""","=""190""","=""""","=""""","=""""","=""""",,"=""1.3351030""","=""6.6310293""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""""","=""76*""","=""1""",5,3,,"=""""","=""L3475""",
"=""235.333""","=""""","=""235.33315+""","=""80""","=""""","=""""","=""""","=""""",,"=""1.5307436""","=""6.7991981""","=""4d4.5s2""","=""a 5D""","=""4""","=""""","=""94*""","=""3""",9,7,,"=""""","=""L3475""",
"=""235.594""","=""""","=""235.59407+""","=""80""","=""""","=""""","=""""","=""""",,"=""1.3815291""","=""6.6441488""","=""4d4.5s2""","=""a 5D""","=""1""","=""""","=""77*""","=""2""",3,5,,"=""""","=""L3475""",
"=""236.509""","=""""","=""236.51019+""","=""70""","=""""","=""""","=""""","=""""",,"=""1.4201599""","=""6.6623949""","=""4d4.5s2""","=""a 5D""","=""2""","=""""","=""81*""","=""3""",5,7,,"=""""","=""L3475""",
"=""237.299""","=""""","=""237.30001+""","=""140""","=""""","=""""","=""""","=""""",,"=""1.4201599""","=""6.6449468""","=""4d4.5s2""","=""a 5D""","=""2""","=""""","=""78*""","=""3""",5,7,,"=""""","=""L3475""",
"=""238.114""","=""""","=""238.11451+""","=""100""","=""""","=""""","=""""","=""""",,"=""1.4702664""","=""6.6771813""","=""4d4.5s2""","=""a 5D""","=""3""","=""""","=""83*""","=""4""",7,9,,"=""""","=""L3475""",
"=""238.425""","=""""","=""238.42516+""","=""150""","=""""","=""""","=""""","=""""",,"=""1.4702664""","=""6.6703970""","=""4d4.5s2""","=""a 5D""","=""3""","=""""","=""82*""","=""4""",7,9,,"=""""","=""L3475""",
"=""240.659""","=""""","=""240.6638+""","=""140""","=""""","=""""","=""""","=""""",,"=""2.0632311""","=""7.214990""","=""4d5.(4G).5s""","=""a 5G""","=""2""","=""""","=""111*""","=""3""",5,7,,"=""""","=""L3475""",
"=""240.912""","=""""","=""240.91266+""","=""40""","=""""","=""""","=""""","=""""",,"=""1.5307436""","=""6.6771813""","=""4d4.5s2""","=""a 5D""","=""4""","=""""","=""83*""","=""4""",9,9,,"=""""","=""L3475""",
"=""241.606""","=""""","=""241.60683+""","=""70""","=""""","=""""","=""""","=""""",,"=""1.5307436""","=""6.6623949""","=""4d4.5s2""","=""a 5D""","=""4""","=""""","=""81*""","=""3""",9,7,,"=""""","=""L3475""",
"=""243.117""","=""""","=""243.11664+""","=""65""","=""""","=""""","=""""","=""""",,"=""1.5307436""","=""6.6305260""","=""4d4.5s2""","=""a 5D""","=""4""","=""""","=""75*""","=""4""",9,9,,"=""""","=""L3475""",
"=""247.2718""","=""""","=""247.27179+""","=""150h""","=""""","=""""","=""""","=""""",,"=""1.3351030""","=""6.3491889""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""3""",5,7,,"=""""","=""L10250,L3475""",
"=""248.256""","=""""","=""248.2543+""","=""70h""","=""""","=""""","=""""","=""""",,"=""1.3351030""","=""6.329344?""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d4.5s.(4D).5p""","=""v 5P*""","=""2""",5,5,,"=""""","=""L3475""",
"=""248.606""","=""""","=""248.59084+""","=""40h,i""","=""""","=""""","=""""","=""""",,"=""1.4702664""","=""6.4577469""","=""4d4.5s2""","=""a 5D""","=""3""","=""""","=""51*""","=""4""",7,9,,"=""""","=""L3475""",
